system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,.geo
00000000000000002528,0.013229364634868391,-0.21810131776755012,0.05616670093400713,0.20352406162347553,-0.001941751556163419,-0.214980017586177,0.001433128070444062,-0.020508794850569563,-0.28428461530848564,-0.010164685561769388,0.08739445228478049,-0.03850139884721894,-0.18843148863125372,-0.060140193786623504,-0.08926841722053715,-0.0567905635659616,0.02298450306676088,0.001067413412082795,0.15147284452038967,-0.11869758885715032,0.03027355403392126,0.04229356832250711,0.008398073836565243,-0.13815967549307118,-0.2121102404718355,0.013494165437810679,0.03613061455905185,0.13493233267069618,-0.21219340534237432,0.04723816799175496,-0.003260157502312048,-0.06779256705975537,0.01387258856750774,-0.13917124152831906,0.12386802893390794,-0.060974159182655835,-0.0860950941835066,-0.016052771906955376,-0.20417955987313893,-0.0317485122417836,0.06831413500940317,-0.10144041524247788,-0.14905240630984287,-0.04750675008059047,-0.04674085053284166,0.10074900468491457,0.012423731860982768,0.05403525186641601,-0.05744700128232026,-0.10849154604388313,0.06578731998513748,0.22637781668728138,-0.15400924877038674,-0.02724599065079764,0.19890491645642655,-0.005406287651078462,-0.10798370259474868,-0.026416411834636704,-0.0769906350685646,-0.26773328022599246,0.035500440476346096,-0.09571496562451509,-0.01404593413417465,0.02330913429709061,010100275,01,0275,010,,0.0245,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000256a,0.017159079711649133,-0.2497024779329822,0.07388246228743327,0.15256574227934214,-0.009430009483511505,-0.08176940841130713,-0.024204123695329736,-0.01171638125004353,-0.12385980910216297,-0.11054575899115178,0.13414759269822232,-0.11554444685613999,-0.28798373446801456,-0.0722467656375203,0.018159505305613992,-0.08804776219377544,-0.1938826280966706,-0.002289069106434134,0.0955201682232231,-0.15330796827446833,-0.014426376680336684,0.10953874371967832,0.0684127386675003,-0.17685430278211603,-0.24086683586363555,0.06076269885504248,0.1037770169513957,0.0789197794071735,-0.17342488322010174,0.05641191207232497,0.03918137882737388,0.02707663295743857,-0.05987831176959061,-0.0851370283062353,0.1422833208718435,-0.03661788641314706,-0.0026913199547876267,-0.09882564955984158,-0.04822533321390441,-0.015456527228264636,0.05769228089629545,-0.06257248830915299,-0.15099785315408562,-0.06334315150937235,-0.02434166800666481,-0.008077763417758043,0.019831931417058583,-0.043594917535069805,-0.1859574254228296,-0.22887146269696587,0.11962554479636107,0.20120442625704568,-0.11566077344108325,-0.03446650669522744,0.1741673912467762,0.023716286189544022,-0.15353068195744224,0.015319076045900187,-0.16308155716592884,-0.2446815195875389,0.11003249689857666,-0.034494609731661324,0.002886640875018567,0.037206612818546585,010012465,01,2465,001,,0.1167,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000256b,0.009653685979475812,-0.24545080573434286,0.03657415756947633,0.14035827240117582,-0.027394791068942978,-0.16266673969028922,-0.04448735808388787,-0.002993362288421796,-0.17846183817109937,-0.0960130167827545,0.1206197784163263,-0.0782431549679497,-0.25303984571207033,-0.10174744165635204,1.8562663593070462E-4,-0.08340701421202278,-0.08386591957834873,0.017108905844239082,0.08745339698416267,-0.15340305734112214,-0.024757145438462,0.08638084497837081,0.022402027204509282,-0.15364378095475642,-0.21330751888833505,0.03324353841073526,0.05654254020516569,0.08468467961806611,-0.12703944019014984,0.06201011843679166,0.027464899744706974,0.028814197758140616,0.008804124723166822,-0.053578822462484514,0.12482915263877305,-0.03639453793474261,-0.027205914481103963,-0.06380666729449873,-0.07833966759838053,-0.04878766786530457,0.043442112279386054,-0.07719638857497707,-0.16585867019059197,-0.021905655565917642,0.01749616174556895,-0.0073430410073052925,0.010083195713148469,-0.0012705561970290777,-0.11950381021384555,-0.13689231892338802,0.10205597855577861,0.1854312094133123,-0.15200059669947777,0.023031985644367745,0.1400551167048514,0.047122535128703666,-0.11746483032231807,-0.0231610523176968,-0.1380724632616159,-0.24810177434410594,0.07958514918048552,-0.07792875453933168,-0.005378842407873603,0.06053923419108119,010011184,01,1184,001,,1.0899,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000256e,0.026547701422725795,-0.17415360925737927,0.11174831063214398,0.12403811561327689,-0.013547195704103426,-0.13740762477197516,0.043268719579922746,-0.021410094982186795,-0.19386616348326188,-0.10690705639118499,0.07961097684488773,-0.11135506682069163,-0.2856951730055278,-0.051732779805451094,0.0013423662537123562,-0.09775646408713072,-0.13642221663725734,2.1915313128136412E-4,0.13425944725533984,-0.1311169055987812,0.01875939855148055,0.07670834840619693,0.08059043153599012,-0.16335971704882787,-0.2402975136517031,0.04146252374933917,0.01863196795938024,0.06171715025926797,-0.1514485533407341,0.06502518130947503,0.06155656121377792,-0.009672272782838347,-0.01419963181422591,-0.0962582833110117,0.13588644690230534,-0.030646640522468654,-0.060945403871310144,-0.04441446458461608,-0.13037337344802213,-0.10990515322618542,0.06383498984490332,-0.07141394684825407,-0.21568323875002943,-0.05741397447263704,-0.022019015580373634,0.036645664862625035,-6.016981338284758E-4,0.004439443817116806,-0.15106162731398062,-0.12794780618293636,0.09293501271653318,0.2200635497730332,-0.1501492620798548,-0.004495364262926213,0.19101476108555943,5.300466641761374E-4,-0.1325380357223995,0.019632185363897662,-0.13927688181836734,-0.23197322774705026,0.07304045632906252,-0.11137771664754345,-0.019981790727850755,0.01574121199647061,010012466,01,2466,001,,0.0839,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002585,0.03230439950224523,-0.2299259968384666,0.06330246707569154,0.15063479441266728,-0.05102086050700563,-0.1581491730543099,0.029688608946477485,-0.07585678035771587,-0.252544675643893,-0.031094691881672232,0.136364774981307,-0.03791104612409416,-0.22564461714792983,-0.07185833706599544,-0.060625806248839974,-0.07813380132263895,0.018116314117092424,-0.030167193109054514,0.15293382406775757,-0.1438515818060533,0.08229394090922827,0.052138634512112064,-0.025434737101899873,-0.20006268254826667,-0.24531797778936518,0.0037396997637899115,0.0479280380324117,0.10311234055982571,-0.14100219681122153,0.09926186542070435,0.05447982370291831,-0.05480871721370764,-0.0032551406418087543,-0.14384174843476655,0.10641333471652022,-0.05886907320244777,-0.09759486478878789,-0.0508872526971142,-0.1733997150511639,-0.01642982708900751,0.028601721838730672,-0.022484934675256685,-0.15095588436479387,-0.0538681874450415,-0.04283173487812166,0.04129283388957327,-0.021964732885637304,0.030340735910074423,-0.06543448984684637,-0.07661200955649308,0.07623714773618145,0.2125665953991745,-0.21592440892261838,-0.016452653885272547,0.2150874975302699,0.027399080925406875,-0.07690092410272094,0.02146642546579845,-0.11703024634717268,-0.1685035066420359,0.03978463033585661,-0.06126280967114229,-0.12587412037806794,0.028508667177361304,010012469,01,2469,001,,0.8382,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002586,0.031079554555434385,-0.19813061149089836,0.07449137406683032,0.134089268278353,-0.055444915320388234,-0.15090709328920882,0.013043220735261717,-0.06884036455592393,-0.23218676266451121,-0.05061376078222893,0.15589041549791818,-0.028899597743248913,-0.24921579215927564,-0.07973731791931034,-0.022135506080904116,-0.059962359139093244,0.009125210765134794,0.0032369878908293528,0.13783266320206017,-0.139014893505301,0.059049488476764674,0.10151774288421608,8.932193171372659E-4,-0.1557127920428284,-0.2400516453680307,0.004779792238520042,0.0282422421271146,0.06754113001513579,-0.09130691471897678,0.08849158781666588,0.041238438229098645,-0.01692632403213861,-0.01854626062690352,-0.15360693718495283,0.12521584886123918,-0.06429451355855553,-0.06054519651906029,-0.08046867184367798,-0.15244857652609017,-0.03303740880180331,0.006008182337396339,-0.03728542398674603,-0.1821778635728753,-0.05029879352709067,-0.009109912275640258,0.013670919079562966,-0.026258279636552542,0.051637838448826884,-0.0706970705941857,-0.07817005609725335,0.05921802590078583,0.21682740690076235,-0.1696569096972637,0.002573879164117899,0.19319007992245013,0.04703763814320547,-0.07036953125335742,-0.0057027013672997975,-0.14523898750012754,-0.21468083261978568,0.047226060813176776,-0.07436006404599727,-0.10854979158738247,0.0196461460005758,010012463,01,2463,001,,3.2383,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002587,0.008732531597062058,-0.23470575262623092,0.057445450823906646,0.1544867842578069,-0.04532286304931763,-0.1367855411628751,0.010720039330501653,0.0184064219629501,-0.1928366609654511,-0.11727512982628117,0.11327178136508025,-0.10070728473483044,-0.25881987112717714,-0.04635676711438278,-0.00359637935420827,-0.10469133248657322,-0.13105175880264133,-0.009928465457575458,0.1400798717876048,-0.14113593681393924,0.002239654962109856,0.09472999906261524,0.022043222650858688,-0.15753382771976254,-0.20910236542695546,0.02081167133051698,0.08093531217475057,0.029672034016404964,-0.14768074821040972,0.07298739698735197,0.012671254027542695,0.0152820082462731,-0.061989828836911336,-0.05280415757044932,0.10234905874401527,-0.026146763428990676,-0.017370488510539083,-0.09477012035210718,-0.082015685503477,-0.04279724363568427,0.09862530309590532,-0.033943441803386765,-0.18290798903222263,-0.09148632849569044,-0.022538863027468065,0.007985757823137348,0.01333155818486032,-0.026770019201868854,-0.1669007747127399,-0.12011878931493046,0.08704588818537767,0.21946698658157673,-0.16960477987231545,-0.009303784018811653,0.1436788774651662,0.0692466983057822,-0.09447761463998634,0.016609618256836836,-0.1878134779609263,-0.24813202969966883,0.09841726122076357,-0.050600662140968776,-0.005730133483392363,0.06650158086971608,010012464,01,2464,001,,1.5618,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025c8,0.08547624947761856,-0.2361706841717544,0.07087640094260131,0.12638194618916976,-0.021864522701424454,-0.21374386318538455,0.0786257700907359,-0.1205263284055323,-0.2777084224387375,-0.009080680020728427,0.06866985728693546,-0.014757089205083672,-0.18591247862925112,-0.08251567264728447,-0.10341658640267455,-0.1319207798041954,0.10268626219469755,0.028977054432738604,0.16515207417063352,-0.08704524741238359,0.07268092846883503,0.03912540276334934,-0.08409350936414857,-0.19876063592958665,-0.20120158675001507,0.062251674764103766,0.015588752780012614,0.07697496986148253,-0.07189886529448755,0.11568762281083747,0.09666167534291659,-0.08982363108278237,-0.025356865856794215,-0.1653597547244528,0.15545833890380056,-0.06015323685889639,-0.19252045975858723,-0.06403417817151914,-0.1664218909316042,-0.0454150477357295,0.001954655852883023,-0.07574679736838393,-0.1405539969143889,-0.04374882057219096,-0.010835414946430368,0.053428608844357996,-0.07139305310463707,0.0532243873645119,-0.048296000957791206,-0.054904342645832674,0.05863360658422622,0.17490679626725014,-0.21621300648271694,-0.0012128433392256742,0.1983323397652716,-0.01755209502038926,-0.07715879472547948,-0.006676827676772962,-0.09161401447811686,-0.20040858067673284,0.06434080735596581,-0.03468125888076754,-0.20625089759362566,0.09180896939968919,010050458,01,0458,005,,0.2099,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025d0,0.05291715476890145,-0.23224588526554302,0.05604522881421569,0.11984752485071756,-0.0148950528711653,-0.20809926525507846,0.06823421059106048,-0.06159206903877323,-0.2835861922563383,-0.03004705668040179,0.04706638004322987,-0.009274152582581833,-0.19072030720611471,-0.0808291539016778,-0.10096296784011237,-0.10083850043252068,0.041431911597265884,0.0011646757797732523,0.15930181462555856,-0.08760165455855652,0.06680587336547299,0.015611704991893767,-0.020185309972510116,-0.18696221447860012,-0.17563236662469858,0.04681885719208766,0.02073727741666427,0.1052361082364985,-0.12134559505213316,0.08743021088520299,0.04870741701697285,-0.04733691261671969,-0.01983863023290419,-0.1096093230647015,0.1485345002798037,-0.07492867791415041,-0.15238672426240962,-0.06744718628459707,-0.14813571452521457,-0.06572152114916824,0.047567355005566934,-0.08437382899607473,-0.17290937776155924,-0.031567796383396705,-0.01857499243795593,0.08854266756207699,-0.03506433334933408,0.04419060103151485,-0.07891578986135675,-0.058687943360563245,0.0730126791566642,0.206260623855938,-0.2199739168164574,-0.015137258795837771,0.19542110606582339,-0.03251907737891587,-0.07987002242756018,0.02198083748090664,-0.08507303694686244,-0.20516058312370286,0.03977855820901101,-0.07302963353151545,-0.13063312119793807,0.04305949920379109,010050506,01,0506,005,,0.5526,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025d3,0.04810543524507375,-0.21495421733890294,0.0851367423966017,0.1462255510531908,-0.03717049615689669,-0.13681746985522605,0.05602321773779997,-0.05274801334516942,-0.1948954517859685,-0.08835304783353629,0.11883858648422603,-0.06976200343374296,-0.26515538047418435,-0.0346288445498907,-0.004369291762827336,-0.11250492148330944,-0.10012285152696948,-0.023625296210277803,0.11167822489125673,-0.12127617134799352,0.031774659053215554,0.08389916592660501,0.00535290051794284,-0.19931438359779788,-0.2518866336205099,0.047435401795502756,0.06578201246506342,0.03975378386696838,-0.10313460777896168,0.09462722818435954,0.06002609725175391,-0.03683709885075062,-0.023839893369399585,-0.11217992538815791,0.11806352323602586,-0.014011618823287266,-0.049467256032172,-0.0650513488456088,-0.11002147105950268,-0.056638590353510675,0.03359069808985084,-0.032569745289127996,-0.15387471637594316,-0.08761171255825105,-0.03602436078527854,0.01498810405772827,-0.03774268272676592,0.011151985012470885,-0.12966462653643546,-0.11344326782808403,0.06437831917487767,0.19968904033669602,-0.15526503105737252,-0.005729210110542157,0.17516721691420725,0.05377018004274001,-0.12989058125679184,0.017213736805492534,-0.16786596611937318,-0.24247806844608635,0.09567611216573439,-0.07919690369623784,-0.0851532029960884,0.08026334482158576,010050508,01,0508,005,,0.3508,,"{""type"":""MultiPoint"",""coordinates"":[]}"
