system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,log_popden,pop_dens,.geo
00000000000000007bc1,0.043398126203252126,-0.22123596652395747,0.18596226825522347,0.11229570248461503,0.005878638376297629,-0.04686632245398631,0.02961001151960525,0.022472115702880307,-0.09995817100555152,-0.04663597369449643,0.07179958479278367,0.058763050481382736,-0.1406745250816138,-0.13727834374496584,-0.024099458151587067,-0.05193008170674,0.05922701773764377,0.11576039738280368,-0.0680232651763057,-0.045304436360894304,0.13300957502928903,0.05121945233292644,-0.045915100025426175,0.06358171558423686,-0.017906538811268725,0.14704882294607485,-0.025121363401056435,0.1231437527996839,0.10588657934194619,0.10411134216075019,0.10205864628616129,-0.08622886802684568,0.014811504515972474,-0.18594562127543052,0.021068401489592953,0.1353725665665692,-0.09402755448257559,-0.03221225744804175,-0.1962967147597049,0.11886934741371855,0.13001202579922383,-0.3015865455289034,-0.02598925686481261,-0.09421374987783439,0.08977859730786167,0.0850674364215897,-0.020672548832215008,0.052348124113442335,0.038441913643637006,-0.01999927046557093,-0.10541959889161151,0.21372190263989785,-0.12219984188556103,0.0225602113857592,-0.013146086069651421,-0.3333503749257726,0.09922710854304283,-0.08374118032872438,-0.12714737966937806,0.03242976242301393,0.1281584637150363,-0.006795764495660551,0.02986517470976155,0.06674679284470333,020050001028A,02,0001,005,2373,1.2472,3.3754807146185724,3.28,1902.662,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000228d,0.05352548343498791,-0.2901835160988453,0.09409104084868443,0.06498492258619998,-0.08822779150655274,-0.1854086299377763,-0.0830812404567773,-0.1093468252123192,-0.29221905810469107,0.08594242343221563,0.1084181991050787,0.12385199725078974,-0.19201289168446,-0.12570075749174153,-0.14043746517576508,0.0314866689256998,0.1994837413640452,0.10975032270342801,0.02226499147321869,-0.07019231712657283,-0.0032542704718414965,0.1649895079091883,-0.047701940410774864,-0.07892572297767635,-0.06708924532458224,0.1595601174787972,0.0014962983752763314,0.1320568510609348,-0.04203240665922963,0.11323494482954975,0.13666335654508963,-0.043364904733320005,-0.028917938497381595,-0.13707735531584966,0.09427207485381528,-0.004108420990557206,-0.18843505183002635,-0.001066144084294033,-0.04926958531177958,0.14715294462159914,0.015319117284056072,-0.12765981994917416,-0.047318676738442034,0.1489344767720277,0.054687151469170914,0.054937894137456464,0.006277922775664374,0.08727362923385278,0.15725313857143738,-0.05334217217369503,0.06982730421929596,0.12657678152708157,-0.22015368617463102,0.06696962031390079,0.08723709698284667,-0.25163009224674165,0.09526549372244933,-0.026795212905564674,0.050793558266190836,-0.0687058482407788,0.11827468850377783,-0.026623381444274733,-0.16210584449991125,-0.0431167239482938,301930001035A,30,0001,193,2375,0.2825,3.375846436309156,3.925,8407.0796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007911,0.12142727468377866,-0.18982906913972208,0.18489858241451634,0.06105134923607783,0.025378323217987112,-0.11394627077193725,0.05507216785653485,-0.06149036697677779,-0.1671643485318685,-0.09849859108203389,0.09798340633452479,0.058345751330159214,-0.15928157804143744,-0.1676895297714664,-0.022771816836085142,-0.06635899433191239,0.19013151496302946,0.13485009718515345,0.056193231335936164,0.01691970833944323,0.07909968955007149,0.012536268116553628,-0.10746422760249358,-0.02500101901506527,-0.030250112985820202,0.232279275433677,-0.05894605500318107,0.06622795466638433,0.13588353637011186,0.10561856646823674,0.10452471531546434,-0.09502008418248406,-0.025377053740400207,-0.16715141860078211,0.1333787367576255,0.015065106825315176,-0.23727121787588173,-0.012472823084289077,-0.2259602504637316,0.12070973086125102,0.10769897772473237,-0.27380675171318414,-0.018360987289123554,-0.07867621044375152,0.0700280913158417,0.07852299309132187,-0.11794380850749907,0.13602225610717483,0.0476353691076288,0.0038475335357845116,-0.05877055039645658,0.16732734082050715,-0.07891417485192047,0.006250466586634654,0.02496182433242723,-0.22060848674620304,0.16167005051451175,-0.053527091393776524,-0.07109567158705758,-0.04925111478729168,0.15100680442130718,0.00679225194813085,-0.12389476430671469,0.0831366679411446,0200400014463,02,0001,004,2375,0.3994,3.375846436309156,3.774,5946.4196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008ed4,0.12653442062748332,-0.25354859445552447,0.01948397054616209,0.08694663918356048,0.00781066375630878,-0.19966085806651152,0.08613780276943439,-0.06329532752057501,-0.32802084843445994,0.011002098957483995,0.01383014173973716,-0.05119102166249621,-0.23619992343426435,-0.0793109695693484,-0.12092243265800659,-0.1596750356287627,0.08238267765938417,0.0055333145847655425,0.12988251132056955,-0.019198796591309956,0.046967166280893854,0.03155210995311193,-0.04315092525683116,-0.21132522257537986,-0.06882898033030511,0.13527254921119575,0.01683579825571784,0.08958979579704203,-0.06859285893239596,0.05450408346619016,0.06113566195914717,-0.0033860499810523734,-0.10033696875614924,-0.07846286227652328,0.22800331070785954,-0.0958184006536738,-0.19460573359495714,-0.10660580776408732,-0.05595673877428082,-0.0692617923696646,0.04640988396879395,-0.0821346108487209,-0.17070411683267323,0.07494979173053845,0.028900523572739333,0.012205415040212551,-0.09703192966318208,0.04611699535274827,-0.1044979579446656,-0.040108732432580896,0.07712080372240714,0.15529400599796253,-0.1631307218690382,-9.057123994488118E-4,0.18055049978558957,-0.05180189424007394,-0.03779121237408383,0.05052936607103878,-0.13600654015016087,-0.18023975678300555,0.10876445698576954,-0.031490833953233564,-0.2411977899207096,0.10545105024567963,110200001214A,11,0001,020,2375,0.4265,3.375846436309156,3.746,5568.5815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e4d,0.026445165754076155,-0.26585606173508425,0.12223300070122957,0.056604379711198055,-0.0503894927371467,-0.20523773710660462,0.04386505465432906,-0.015636333462408433,-0.08950409309390985,-0.040112483105025944,0.07151595936340013,-0.1191346610677174,-0.26547913393729433,-0.060994660731072875,0.01009903919967329,-0.1375767626041401,-0.012851997682487652,0.06865393891086619,-2.3317603510276258E-4,-0.07997140613812391,-0.04326983692737329,0.11441432396894463,0.09400081016508077,-0.11762368442436184,-0.07698046012223025,0.0049713457922862,0.10661327199239784,0.0442164169632929,-0.16386622410685978,0.08115861801665859,0.0661720197888852,0.03713428577927623,-0.08894260499210709,-0.00669730225364626,0.11994110368229624,-0.10540777634928956,-0.015405266587992504,-0.143996959428837,-0.03861549537760961,-0.05159648846632522,0.006495016855744623,-0.11986045092262693,-0.3114371629679202,0.14437677376409572,-0.008655543305073862,-0.014821903323993224,0.024652968986546835,0.06345909669804109,-0.16475918852223964,-0.19186269987563984,0.09926901130915183,0.13435795269405215,-0.03948940439659948,0.07791076716723107,0.14843356805805633,-0.10044577295299865,-0.010364600466005696,-0.04908573381458018,-0.15123929371327713,-0.33690100997058103,-0.02266820491610106,-0.04325019110040157,-0.05046106332241336,-0.06725203663045597,203970001013A,20,0001,397,2376,0.6347,3.3760291817281805,3.573,3743.5009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000251c,-0.018988529238010202,-0.16730250938730024,0.030384120230042933,0.01732302406126154,0.028867432901460346,-0.09501142855460656,-0.03293744304960286,0.05187808463038174,-0.2153239697423117,-0.10760687403459418,0.0755769211749522,-0.10619499095489617,-0.32098275301425194,-0.07923602651738446,0.03712819954545174,-0.07319339840560954,-0.13299120753800192,-0.03659680842814418,0.05482085865668326,-0.08122707852631608,-0.06302897995869546,0.061889242741593034,0.16188931881860613,-0.16950359487293007,-0.1288752991884935,0.12529780773200372,-0.0029028790696107422,0.05992352001102985,-0.0961806869122754,0.022576181750917464,-0.00557459020311473,0.10323228933685986,-0.0290052746760115,-0.06992382362560148,0.1797708712879492,-0.12225321025464839,0.017255653280421494,-0.04606621098490047,-0.06905679920640447,-0.10990308380651712,0.033393099595975,-0.11962497284108098,-0.21307276383066667,0.049741956126658535,0.11716656110300254,0.00583542028237283,0.02224773636976376,0.057650983094773,-0.1529865213679529,-0.14670695082705354,0.10377458731411196,0.1470928876516621,-0.05834964581729376,0.0035202538176884787,0.1809367242503751,-0.006643964713948033,-0.0810356414624939,-0.010419634683901354,-0.18268948382978384,-0.2543540101215204,0.15735020391112903,-0.18046645662507502,-0.06452158099359263,-0.03795089507277631,010030021,01,0021,003,2376,0.6938,3.3760291817281805,3.535,3424.618,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000067f6,0.04644434750117785,-0.188185883589092,0.05860274518554189,0.08355363201788762,-0.011247066568210848,-0.14800132560716256,0.044208329959878834,0.016173358108060563,-0.24553287937928608,-0.05935348866464313,0.05654155518685802,-0.07182945925141074,-0.2990069961313615,-0.033524171362563984,0.0033414693839398865,-0.07872101319163226,-0.08858641990070179,-0.04471751524175176,0.058905863662454754,-0.04239613952053716,-0.05171584061440591,0.07661644509411897,0.10537893466777984,-0.1772542621739648,-0.10781773754636394,0.10807236953392099,0.05440912968245494,0.030762338259295124,-0.13582521998998845,0.0743205622770104,-0.0323378028592266,0.005200512417296786,-0.10153746299100723,-0.08847832833527287,0.19694296325517063,-0.08633951634893995,-0.05006331181906164,-0.07751105841089552,-0.04131125039662964,-0.08077605420296748,0.047457987644496054,-0.06723346527041606,-0.27619490504813077,0.0733529776217828,0.004430172435003673,0.03263168956807113,-0.030381499023937216,0.016869395771635574,-0.1465078919049138,-0.09196200576856683,0.08728804005967654,0.2236265764571288,-0.07695887778387031,-0.032863721369202,0.16389665598492575,0.03128630446275516,-0.07856083741397699,0.0546325900515133,-0.22274829293085247,-0.2603657482064857,0.10571449935112862,-0.11210572733214345,-0.08784467419855485,0.06589268526923864,1406300010727,14,0001,063,2376,0.3313,3.3760291817281805,3.856,7171.7477,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000079ae,0.05758490072737787,-0.17648618498499227,0.16619426573810472,0.14906575444796938,0.10465402536589222,-0.062138921616400604,0.04612458102334843,0.03599704762505046,-0.15671515064827563,-0.06026707259669065,0.04813765205049766,-0.008188494555595463,-0.14468694512312635,-0.16380723137200753,-0.06394686842645644,0.014618316378485157,0.0692277179478158,0.13088515934429967,0.04008103258605583,-0.019678133614254047,0.06587005360792784,-0.0010206107154032882,-0.01908876434526437,0.0038982712539246327,0.04382458602958715,0.25936233066276776,-0.05881970199711747,0.1574180352518682,0.06609155714307145,0.06191468588418164,0.08663983849262515,-0.026048191610824476,-0.006394946835155306,-0.13700885115545317,0.1359211669939897,-0.0414383621006855,-0.1339928301376115,-0.044375759927103645,-0.2520475962888968,0.17094455849488732,0.18838565997692866,-0.3353654767331834,0.035846999666655575,-0.06472932334204466,0.09560492332263905,0.17569100745182453,-0.03613655317776534,0.09127453401410526,0.00961918978316399,-0.09346355169871803,-0.051695279549593964,0.2083606196802773,-0.05988332533276974,-0.024524363747194806,-0.00668218387112131,-0.32034149431475606,0.18864035397521392,-0.07104890308911586,-0.06038430604125176,-0.06306008796268572,0.13152198071242707,0.008682285802469724,0.039528875436499834,-0.02601318400100206,0200400015508,02,0001,004,2376,0.2938,3.3760291817281805,3.908,8087.1341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000984e,0.06188642391200178,-0.22118517675702026,0.08909889298586757,0.04220588447196021,0.06390226473452154,-0.17504665795439353,0.025314017981991267,-0.07104070208483879,-0.04381313471799118,0.0654378334522206,0.048037795674490485,-0.05789456721300221,-0.33908960016211054,-0.01272903438726666,0.024132766085146515,-0.15111432365587227,0.005671760618246839,0.046593986709308415,-0.04201182987256936,-0.14796963638730737,-0.15603174589709054,0.18188959891211604,-0.011200265541051593,-0.15061016298580862,-0.1611671830119182,0.10189102549313053,0.01634917932058958,0.004115192496278036,-0.11302260065420584,-0.0014580341537173591,0.04389503913794511,-0.021282165876454213,-0.003755755966612449,-0.007301052793393292,0.09299772679117298,-0.059130404779300275,-0.049551312351010776,-0.06521785296683455,-0.06618005624827349,-0.1300989374720845,0.04265694929731842,-0.17013926595554463,-0.20719040510767434,0.22807143848777675,-0.0778197286768061,-0.022417077827047067,-0.027841769071054272,0.003917934799682412,-0.08115247097086782,-0.14365544333696756,0.09291177598570904,0.019262189162217645,-0.04050797570600903,0.1279958438726002,0.14514038106875418,-0.20105428940802422,9.72884278425053E-4,-0.036102535035826715,-0.08342338737938393,-0.3518423125525694,0.06269537904585587,-0.14417196297092888,0.025460290943804417,-0.11353958053150903,300800009,30,0009,080,2376,0.3908,3.3760291817281805,3.784,6079.8362,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000395,0.05186082089803275,-0.21873779439661686,0.07175714403252595,0.01705600245342762,0.021424132451515802,-0.1651620997251382,-0.022044406075915842,-0.010849574935110323,-0.17240416458556518,-0.0629641219129342,0.15071045491880222,-0.034815042079318834,-0.2927754925219219,-0.09334234913099415,-0.003678216747300821,-0.04055805534507574,0.021977688509701592,0.0568226711370466,0.02109506748835714,-0.13660548785450513,-0.07321410785284883,0.043783718777983205,0.1346488330704837,-0.16880611187163166,-0.10504900169485895,0.09673993264009474,-0.005654788853526256,0.09682773239526134,-0.06036656378511928,0.019546815590299357,0.03932269965602828,0.12241754586718386,0.010205730300790193,-0.028742430486216358,0.2268442510951573,-0.12842469399919665,-0.09881686454469574,-0.018141890060337822,-0.04655715779911466,-0.12017008641827422,-0.03432155401715016,-0.18632060409728074,-0.2444986253100768,0.16306351857454687,0.14474158750737742,-0.05529107479126066,-0.067448467453783,0.18613864967026808,-0.0501465845869681,-0.1370362527809698,0.13017208479072762,0.09188051343568047,-0.09662632344595849,0.10832497626219749,0.16509439799392772,-0.13453748320449999,-0.025312532672386964,-0.0915849456029248,-0.0861441116767342,-0.22061761279308414,0.11165278569136389,-0.11051579739302592,-0.06738256725706031,-0.041299682274677715,1605300011997,16,0001,053,2377,0.2825,3.376211850282673,3.925,8414.1593,"{""type"":""MultiPoint"",""coordinates"":[]}"
