ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
04,Campeche,000,Total de la entidad Campeche,0000,Total de la entidad,0000,000,928363,471424,456939,45541,22506,23035,878528,446774,431754,845134,430162,414972,730335,373837,356498,682951,350650,332301,637189,328098,309091,50104,24850,25254,98089,48087,50002,112766,55251,57515,47384,23187,24197,45762,22552,23210,105934,53399,52535,251520,102616,52320,50296,96.93,241118,613113,69838,2.1,716025,364562,351463,199443,100331,99112,814049,415100,398949,27860,13950,13910,91801,45081,46720,2479,1636,843,88686,43166,45520,91020,2458,87926,182867,19319,9784,9535,52259,25298,23964,8086,10744,9396,9679,112956,36108,73471,7852,20370,5284,19984,12314,753271,15028,7322,7706,4762,2267,2495,4548,2209,2339,33731,16778,16953,37620,18613,19007,3149,1387,1762,39986,22915,17071,46922,25746,21176,58721,29676,29045,77156,40667,36489,19925,9195,10730,172718,91601,81117,285453,142069,143384,9.63,9.52,9.74,462607,186762,275845,266137,186405,79732,456296,185018,271278,6311,1744,4567,203304,719677,288186,62638,2070,32088,327334,8950,7441,2914,229890,415151,84699,558124,226028,1025,137884,260725,81072,179653,926854,268706,658148,321634,260824,312770,251960,260221,260725,42196,18614,926854,3.55,1.12,251811,7150,116234,142732,38000,57062,163902,255453,3516,248625,223034,10343,188401,52939,245200,5610,245656,13279,236503,889,243050,128025,5559,218630,201206,86222,89762,64350,62159,136266,226163,87769,68843,218322,114020,151613,38508,17976,23627,36397,130361,12028
04,Campeche,001,Calkiní,0000,Total del municipio,0000,000,59232,30062,29170,2899,1459,1440,56241,28557,27684,54114,27468,26646,46750,23783,22967,43717,22280,21437,40831,20871,19960,3202,1608,1594,6289,3166,3123,7157,3569,3588,3033,1503,1530,2886,1409,1477,6921,3458,3463,15692,7445,3841,3604,97.03,15423,38406,5311,2.2,53868,27291,26577,5208,2698,2510,53326,27057,26269,760,401,359,26816,13455,13361,1036,671,365,25578,12686,12892,26551,1035,25314,45092,2172,1094,1078,2955,1390,1206,544,722,593,481,6867,2391,4421,543,1367,302,943,751,48938,446,226,220,111,56,55,152,74,78,2327,1133,1194,2780,1317,1463,151,74,77,4039,2413,1626,3269,1906,1363,4828,2563,2265,4744,2568,2176,1042,478,564,10314,5406,4908,17956,8579,9377,9.4,9.12,9.71,30100,12755,17345,16515,10969,5546,29943,12716,17227,157,39,118,10632,48492,6224,10288,101,268,31007,940,109,324,15179,27189,4376,40447,11957,36,6675,15287,4054,11233,59192,14265,44927,19433,15289,19424,15280,15277,15287,2675,1469,59192,3.87,1.32,14892,360,6606,8645,2275,4225,8752,15116,136,14953,14040,299,9505,1589,13511,309,13413,1839,13208,19,13253,9124,444,11048,10900,3424,3475,4128,9439,6743,13588,4348,1553,11911,4627,10541,815,381,1289,3192,9280,738
04,Campeche,001,Calkiní,0001,Total de la localidad urbana,0000,000,15949,8217,7732,654,329,325,15274,7877,7397,14768,7621,7147,12926,6733,6193,12161,6342,5819,11390,5972,5418,763,377,386,1585,767,818,1805,898,907,765,391,374,771,370,401,1776,878,898,4290,2271,1212,1059,94.1,3767,10561,1600,2,13664,7031,6633,2232,1161,1071,14499,7469,7030,256,145,111,3490,1815,1675,46,31,15,3395,1760,1635,3487,46,3392,8538,643,340,303,628,331,226,112,153,117,97,1672,652,1008,149,341,128,279,208,13516,99,50,49,29,11,18,18,11,7,698,337,361,909,434,475,26,11,15,549,355,194,483,313,170,967,556,411,898,518,380,190,97,93,2180,1137,1043,6945,3474,3471,11.06,10.74,11.4,7827,3470,4357,5038,3240,1798,7792,3460,4332,35,10,25,3624,12296,2256,4961,46,34,4666,148,45,221,4391,7009,1524,12412,2313,6,1187,4098,1295,2803,15909,4708,11201,5604,4100,5600,4096,4097,4098,990,514,15909,3.88,1.14,4027,64,1596,2495,448,825,2818,4069,22,4066,3923,25,2817,638,3902,34,3903,188,3878,*,3881,1796,50,3577,3280,1479,1431,1561,2200,1872,3757,1876,736,3600,1897,3099,458,244,255,449,1759,93
04,Campeche,001,Calkiní,0001,Total AGEB urbana,0275,000,4708,2403,2305,190,98,92,4518,2305,2213,4377,2230,2147,3849,1983,1866,3602,1851,1751,3399,1754,1645,211,110,101,458,212,246,537,272,265,247,132,115,203,97,106,537,265,272,1254,723,374,349,95.92,1106,3086,516,2.05,3989,2025,1964,715,377,338,4306,2191,2115,68,38,30,1148,574,574,19,13,6,1118,556,562,1147,19,1117,2847,334,169,165,210,111,90,39,44,35,36,625,230,386,33,122,35,124,51,3855,24,10,14,5,*,4,3,*,*,184,87,97,294,143,151,7,3,4,176,111,65,170,106,64,301,165,136,270,151,119,48,22,26,609,304,305,2092,1040,1052,11.04,10.74,11.35,2423,1094,1329,1408,886,522,2415,1093,1322,8,*,7,1263,3444,588,1570,*,9,1265,34,5,3,1304,2099,446,3537,824,3,343,1167,370,797,4708,1472,3236,1536,1167,1536,1167,1166,1167,263,106,4708,4.03,1.1,1156,10,363,803,74,223,869,1164,*,1159,1122,7,783,195,1121,5,1122,44,1118,0,1122,488,13,1032,958,439,425,471,704,545,1084,557,233,1050,561,949,151,85,68,104,487,21
04,Campeche,001,Calkiní,0001,Calkiní,0275,001,165,89,76,10,7,3,155,82,73,150,81,69,132,71,61,128,69,59,123,66,57,6,*,4,17,9,8,14,8,6,4,*,*,5,3,*,19,7,12,46,32,16,16,85.39,37,106,22,1.82,135,71,64,30,18,12,147,78,69,3,3,0,38,20,18,*,*,0,37,19,18,38,*,37,88,*,0,*,5,*,3,*,*,0,0,38,8,29,*,6,3,8,*,121,0,0,0,0,0,0,0,0,0,5,3,*,13,5,8,0,0,0,4,3,*,4,3,*,12,7,5,10,4,6,0,0,0,15,11,4,84,42,42,11.45,11.32,11.61,113,61,52,19,10,9,113,61,52,0,0,0,52,113,26,55,0,0,32,0,0,0,41,79,12,112,31,0,22,42,13,29,165,48,117,50,42,50,42,42,42,7,*,165,3.93,1.15,41,*,12,30,*,10,30,42,0,42,42,0,34,7,40,0,40,*,40,0,40,13,0,38,38,16,21,15,28,16,40,22,5,40,25,34,*,0,*,*,11,0
04,Campeche,001,Calkiní,0001,Calkiní,0275,002,249,129,120,10,5,5,239,124,115,230,118,112,201,102,99,190,94,96,182,91,91,13,9,4,25,13,12,25,17,8,11,8,3,8,3,5,28,16,12,64,40,19,21,93.02,59,164,26,1.96,210,111,99,36,17,19,227,116,111,*,*,0,78,34,44,0,0,0,77,33,44,77,0,76,185,61,34,27,13,9,4,4,*,*,*,39,15,23,*,8,0,9,3,196,*,0,*,0,0,0,0,0,0,8,3,5,12,7,5,0,0,0,8,3,5,6,4,*,18,9,9,13,8,5,0,0,0,31,13,18,115,57,58,11.25,10.98,11.51,138,60,78,62,42,20,138,60,78,0,0,0,91,158,15,86,0,0,52,5,0,0,63,124,14,183,48,3,15,55,14,41,249,69,180,62,55,62,55,55,55,3,4,249,4.53,1.16,55,0,11,44,*,8,45,55,0,55,55,0,40,8,55,0,55,0,55,0,55,25,*,51,45,26,19,19,38,26,49,30,11,52,33,46,5,5,5,3,19,*
04,Campeche,001,Calkiní,0001,Calkiní,0275,003,81,39,42,3,*,*,78,38,40,78,38,40,68,31,37,63,28,35,61,28,33,*,*,0,9,6,3,12,8,4,5,3,*,*,0,*,12,5,7,19,11,5,6,107.69,18,56,7,1.97,70,37,33,11,*,9,75,37,38,3,*,*,23,10,13,0,0,0,23,10,13,23,0,23,43,0,0,0,4,3,*,*,*,*,*,10,5,7,0,*,0,*,*,67,0,0,0,0,0,0,0,0,0,*,0,*,5,3,*,0,0,0,*,*,0,3,*,*,5,3,*,3,0,3,0,0,0,6,4,*,44,19,25,12.16,11.43,12.74,45,18,27,23,13,10,45,18,27,0,0,0,30,51,12,35,0,*,3,0,0,0,20,40,8,62,15,0,4,19,6,13,81,28,53,26,19,26,19,19,19,5,*,81,4.26,1.16,19,0,4,15,0,3,16,19,0,19,19,0,12,*,19,0,19,0,19,0,19,11,*,18,14,9,4,6,14,11,16,14,*,18,12,15,0,0,3,*,3,*
04,Campeche,001,Calkiní,0001,Calkiní,0275,004,279,142,137,13,7,6,266,135,131,257,132,125,224,118,106,207,109,98,194,103,91,14,5,9,28,12,16,32,14,18,17,9,8,13,6,7,28,17,11,76,34,18,16,96.48,72,182,25,1.96,247,128,119,32,14,18,256,132,124,*,0,*,64,29,35,*,*,0,61,27,34,64,*,61,171,9,4,5,10,4,5,0,*,0,*,46,8,39,*,*,*,*,*,222,*,0,*,*,0,*,0,0,0,12,6,6,14,7,7,0,0,0,10,7,3,9,8,*,15,7,8,17,10,7,3,*,*,37,19,18,118,60,58,11.36,10.93,11.84,172,87,85,52,31,21,172,87,85,0,0,0,61,218,44,102,0,0,71,*,0,0,71,128,25,216,55,0,8,69,19,50,279,73,206,88,69,88,69,69,69,16,3,279,4.04,1.23,69,0,28,41,8,15,46,69,0,68,63,*,49,16,68,0,68,*,67,0,68,35,0,61,53,21,21,28,41,32,64,37,11,59,31,58,10,8,4,10,28,0
04,Campeche,001,Calkiní,0001,Calkiní,0275,005,112,49,63,3,*,*,109,47,62,108,47,61,95,43,52,90,40,50,82,37,45,5,*,3,9,*,7,11,3,8,5,3,*,8,3,5,17,4,13,27,22,12,10,128.57,22,77,13,2.56,102,44,58,10,5,5,105,45,60,3,*,*,31,17,14,0,0,0,31,17,14,31,0,31,69,62,28,34,*,*,0,0,0,*,0,9,*,7,*,*,0,0,0,101,0,0,0,0,0,0,0,0,0,7,3,4,8,*,6,0,0,0,7,3,4,4,*,3,7,5,*,11,4,7,3,*,*,21,10,11,42,17,25,10.21,9.93,10.44,38,15,23,52,28,24,38,15,23,0,0,0,21,91,30,33,0,0,22,7,0,0,35,46,14,89,20,0,3,31,15,16,112,55,57,37,31,37,31,31,31,3,3,112,3.61,0.95,31,0,11,20,*,6,23,31,0,31,30,0,15,0,29,0,29,*,29,0,29,13,*,26,27,11,11,13,3,9,28,14,*,26,13,24,3,*,3,5,14,*
04,Campeche,001,Calkiní,0001,Calkiní,0275,006,69,35,34,6,3,3,63,32,31,62,31,31,55,28,27,52,27,25,51,26,25,*,*,*,6,3,3,7,4,3,3,*,*,*,*,0,8,4,4,18,9,6,3,97.14,17,46,6,1.89,63,32,31,6,3,3,62,31,31,0,0,0,11,7,4,0,0,0,11,7,4,11,0,11,40,0,0,0,3,3,0,0,0,*,0,13,3,10,*,*,*,3,0,53,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,0,0,0,5,4,*,3,3,0,3,*,*,4,*,3,*,0,*,10,6,4,30,15,15,10.83,10.74,10.92,48,25,23,7,3,4,48,25,23,0,0,0,20,49,11,23,0,0,13,*,0,0,25,24,6,48,16,0,5,16,10,6,69,45,24,21,16,21,16,16,16,5,0,69,4.31,1.73,16,0,5,11,4,3,9,15,*,16,15,0,7,*,15,0,15,*,15,0,15,4,*,15,11,6,6,12,9,7,14,7,0,14,6,12,0,0,*,*,7,*
