"entidad","nom_ent","mun","nom_mun","loc","nom_loc","ageb","mza","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter"
17,Morelos,000,Total de la entidad Morelos,0000,Total de la entidad,0000,000,1777227,858588,918639,90516,46244,44272,1661822,799886,861936,1596669,766696,829973,1362430,647284,715146,1262274,596774,665500,1155125,543041,612084,98247,50104,48143,201145,102498,98647,235620,119451,116169,100156,50510,49646,107149,53733,53416,224147,109186,114961,489266,177878,82681,95197,93.46,490064,1138000,124274,2.29,1253349,613984,639365,479892,222681,257211,1486384,708731,777653,78610,37983,40627,31905,15771,16134,534,175,359,27978,13900,14078,31388,466,27606,65676,79994,45717,21573,7707,10780,4269,3909,7285,1664522,47859,24518,23341,6942,3843,3099,8567,4946,3621,71937,34512,37425,64063,31083,32980,6538,3842,2696,81045,31628,49417,91548,38189,53359,133731,63143,70588,182120,85281,96839,62045,33672,28373,308772,149965,158807,444489,210005,234484,8.90,8.99,8.81,744599,475507,269092,611965,168092,443873,708725,447359,261366,35874,28148,7726,626965,1122320,466631,122497,3402,499872,465974,741543,152984,1386152,226175,4844,108563,460868,334770,126098,1745173,1330147,415026,649839,469091,641616,460868,468930,99339,81409,1745173,3.79,1.04,425539,33240,166339,293022,39255,84983,334673,454976,4462,401604,57087,446249,437684,20402,388726,6328,372945,439195,395206,285215,189731,137530,245657,294116,107165
17,Morelos,001,Amacuzac,0000,Total del municipio,0000,000,17021,8223,8798,820,423,397,16169,7784,8385,15483,7431,8052,13042,6182,6860,11951,5626,6325,10819,5057,5762,1036,530,506,2091,1072,1019,2506,1284,1222,1091,556,535,1132,569,563,2213,1067,1146,4533,1975,935,1040,93.46,5038,10494,1457,2.85,12291,6068,6223,4503,2029,2474,14738,7002,7736,357,174,183,41,25,16,0,0,0,25,12,13,41,0,25,125,910,502,263,81,125,28,18,75,15920,571,291,280,74,36,38,132,78,54,671,333,338,396,168,228,84,45,39,1369,524,845,1318,541,777,1714,799,915,2117,961,1156,565,319,246,3094,1597,1497,2775,1256,1519,7.53,7.65,7.43,6366,4559,1807,6611,1581,5030,6028,4279,1749,338,280,58,5887,11080,2280,1486,9,7238,4366,7354,1310,14110,1780,97,842,4407,3277,1130,16997,13268,3729,5927,4415,5919,4407,4415,1144,368,16997,3.86,1.14,3991,396,1684,2710,369,939,3083,4335,51,3991,401,4049,3888,492,3592,97,3145,4067,3828,2272,1394,691,2053,1971,456
17,Morelos,001,Amacuzac,0001,Total de la localidad urbana,0000,000,5368,2561,2807,238,115,123,5104,2433,2671,4913,2340,2573,4165,1959,2206,3853,1804,2049,3518,1625,1893,294,143,151,645,331,314,754,379,375,312,155,157,335,179,156,702,327,375,1462,595,255,340,91.24,1489,3422,431,2.63,4101,1986,2115,1193,530,663,4657,2193,2464,152,79,73,10,4,6,0,0,0,9,3,6,10,0,9,39,283,174,79,24,46,11,8,19,5000,136,66,70,23,16,7,36,22,14,227,119,108,197,81,116,19,10,9,259,88,171,280,110,170,427,187,240,577,248,329,179,102,77,894,463,431,1341,627,714,8.77,8.96,8.61,2059,1357,702,2082,590,1492,1934,1259,675,125,98,27,1716,3620,906,974,4,1729,1407,2317,432,4609,467,8,177,1396,1040,356,5347,4227,1120,1802,1403,1795,1396,1403,316,83,5347,3.83,1.02,1316,79,475,921,88,234,1072,1382,12,1322,74,1342,1318,78,1255,24,1073,1322,1272,868,560,364,762,810,270
17,Morelos,001,Amacuzac,0001,Total AGEB urbana,0060,000,1319,645,674,61,26,35,1251,616,635,1209,597,612,1005,486,519,925,442,483,836,393,443,74,38,36,172,92,80,211,111,100,80,44,36,89,49,40,183,87,96,348,126,64,62,95.70,387,834,91,3.39,960,484,476,337,145,192,1147,561,586,35,22,13,3,*,*,0,0,0,3,*,*,3,0,3,15,86,52,36,4,22,*,*,4,1223,38,18,20,12,7,5,9,7,*,55,32,23,36,17,19,10,5,5,84,33,51,98,44,54,121,53,68,145,61,84,32,20,12,265,150,115,225,95,130,7.87,7.96,7.80,513,339,174,484,144,340,482,314,168,31,25,6,469,840,184,133,0,516,352,545,106,1004,196,3,90,342,261,81,1313,1060,253,459,344,457,342,344,103,12,1313,3.84,1.07,323,18,125,217,23,63,256,339,3,321,21,328,326,16,309,6,267,323,304,197,108,57,163,184,41
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,001,125,64,61,9,4,5,116,60,56,111,58,53,89,46,43,86,44,42,79,40,39,9,3,6,18,11,7,20,13,7,3,*,*,7,4,3,12,6,6,32,8,5,3,104.92,39,80,6,3.94,97,51,46,28,13,15,106,54,52,4,3,*,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,0,0,0,*,0,114,4,*,*,3,*,*,*,*,0,4,*,*,0,0,0,4,*,*,9,5,4,10,7,3,14,6,8,19,7,12,0,0,0,29,17,12,12,6,6,7.04,6.98,7.10,56,37,19,33,9,24,54,35,19,*,*,0,46,79,15,14,0,50,22,57,10,79,23,0,17,28,24,4,125,111,14,35,*,*,*,*,*,*,125,4.46,1.25,26,*,4,24,*,4,23,27,*,26,*,26,26,*,24,0,23,26,26,18,11,7,14,14,4
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,002,24,10,14,*,*,0,23,9,14,23,9,14,20,9,11,16,7,9,14,6,8,0,0,0,3,0,3,6,*,4,4,*,*,*,*,*,*,0,*,8,*,*,*,71.43,8,14,*,2.36,19,7,12,5,3,*,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,*,0,*,0,0,0,21,0,0,0,0,0,0,0,0,0,*,*,*,*,0,*,0,0,0,0,0,0,0,0,0,*,*,*,*,0,*,0,0,0,6,5,*,5,*,4,9.19,9.14,9.22,7,4,3,13,5,8,6,3,3,*,*,0,0,24,*,7,0,16,8,12,0,7,15,0,*,6,6,0,24,24,0,6,*,*,*,*,*,*,24,4,1.09,6,0,3,3,0,*,4,6,0,6,0,6,6,0,6,0,6,6,6,6,*,3,4,5,3
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,003,61,26,35,*,0,*,60,26,34,59,25,34,49,21,28,44,19,25,39,17,22,3,*,*,8,3,5,13,5,8,5,*,3,5,*,3,4,3,*,16,7,3,4,74.29,17,38,6,3.16,35,12,23,26,14,12,55,22,33,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,*,4,0,0,0,52,*,*,0,0,0,0,0,0,0,5,*,3,3,*,*,0,0,0,4,*,3,7,3,4,*,0,*,6,*,5,*,*,0,12,6,6,13,6,7,8.48,9.11,8,23,14,9,24,7,17,23,14,9,0,0,0,15,44,10,8,0,26,18,24,7,57,4,0,0,18,13,5,61,51,10,19,*,*,*,*,*,*,61,3.39,0.82,18,0,3,15,0,*,16,18,0,17,*,17,17,*,16,0,15,17,18,12,8,*,15,5,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,005,7,5,*,0,0,0,7,5,*,7,5,*,7,5,*,7,5,*,6,4,*,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0,*,*,*,0,250,0,5,*,3,6,4,*,*,*,0,7,5,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,*,0,0,0,6,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,0,0,0,*,*,0,*,*,*,9.17,9,9.50,5,4,*,*,*,*,4,3,*,*,*,0,3,4,*,*,0,*,*,4,*,3,0,3,*,3,3,0,7,7,0,4,*,*,*,*,*,*,7,2.33,0.70,3,0,*,*,*,0,*,3,0,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,006,14,7,7,*,0,*,13,7,6,13,7,6,13,7,6,12,6,6,11,5,6,0,0,0,0,0,0,*,*,0,*,*,0,*,*,0,4,*,*,3,*,*,0,100,*,11,*,2.40,11,6,5,3,*,*,10,5,5,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,0,0,0,*,0,*,0,0,0,*,0,*,4,*,*,*,*,0,*,*,0,5,*,3,8.17,8.67,7.67,6,3,3,7,4,3,6,3,3,0,0,0,4,10,3,6,0,*,7,4,*,11,3,0,0,4,*,*,14,10,4,5,*,*,*,*,*,*,14,3.50,1.17,4,0,*,3,0,*,3,4,0,4,0,4,4,0,4,0,3,4,3,*,*,*,*,*,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,007,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
