state_name,log pop density,mean area (km²),median area (km²),Clay (2010) | N,Clay (2010) | frac_urban,Clay (2010) | R²,Clay (2020) | N,Clay (2020) | frac_urban,Clay (2020) | R²,AlphaEarth (2020) | N,AlphaEarth (2020) | frac_urban,AlphaEarth (2020) | R²
Nuevo León,3.170653,0.4008126575189022,0.2979,2195,1.0,0.6115220785140991,3571,0.7448893867264071,0.6282787322998047,3571,0.7448893867264071,0.7056860738685038
Tamaulipas,2.0154865,0.34631101408450704,0.2642,2037,1.0,0.5869896411895752,3550,0.656056338028169,0.5818662047386169,3550,0.656056338028169,0.6690947231830442
México,1.562745,0.5810172707889126,0.3355,4043,1.0,0.6555665731430054,6566,0.6532135242156564,0.5416553020477295,6566,0.6532135242156564,0.6257584237625897
Hidalgo,1.6113831,0.5833307692307692,0.24215,1209,1.0,0.5761704444885254,3640,0.39065934065934066,0.5276013612747192,3640,0.39065934065934066,0.6948644221159186
Jalisco,1.8437283,0.30269286054259875,0.2173,4091,1.0,0.5070667862892151,6303,0.7459939711248612,0.527099072933197,6303,0.7459939711248612,0.6111871640755415
Coahuila,2.3125741,0.3955248158200853,0.2972,1751,1.0,0.5344120264053345,2579,0.713067080263668,0.5236297249794006,2579,0.713067080263668,0.6275367063984747
Campeche,1.1671153,0.4362759219088937,0.30474999999999997,435,1.0,0.6008788347244263,922,0.5032537960954447,0.5232056379318237,922,0.5032537960954447,0.6766617969233303
Baja California,1.935015,0.45122494422132975,0.3324,1495,1.0,0.3422708511352539,2241,0.7800089245872378,0.5143474340438843,2241,0.7800089245872378,0.629015763095394
Chihuahua,2.3845103,0.4196103553299492,0.2797,2466,1.0,0.5347696542739868,3940,0.6883248730964467,0.5141404867172241,3940,0.6883248730964467,0.6390429786944196
Quintana Roo,2.2989044,0.3462006092916984,0.2449,762,1.0,0.5863739848136902,1313,0.7593297791317594,0.5015232563018799,1313,0.7593297791317594,0.5685290005595064
Puebla,1.1766871,0.5476351387054161,0.34804999999999997,2342,1.0,0.6145936250686646,4542,0.5449141347424042,0.4813077449798584,4542,0.5449141347424042,0.6654085778934316
San Luis Potosí,1.594068,0.3256437097226114,0.1913,1253,1.0,0.4524964690208435,3569,0.4174838890445503,0.4757450222969055,3569,0.4174838890445503,0.5906268398645597
Yucatán,1.1658093,0.4807922238732046,0.3622,1374,1.0,0.5155545473098755,2019,0.7429420505200595,0.471379816532135,2019,0.7429420505200595,0.4928505193076818
Tlaxcala,1.2921933,0.8206047244094489,0.5902,623,1.0,0.6106410622596741,889,0.7469066366704162,0.469219446182251,889,0.7469066366704162,0.723100440003657
Aguascalientes,1.0801753,0.32982036585365854,0.2579,404,1.0,0.5463504791259766,820,0.5829268292682926,0.4656546711921692,820,0.5829268292682926,0.5527802470272232
Durango,1.6309258,0.251508347886832,0.1672,1420,1.0,0.4445176124572754,2863,0.5976248690185121,0.4585133790969848,2863,0.5976248690185121,0.5766231188490476
Colima,1.6756579,0.30188105726872244,0.2343,465,1.0,0.4584550857543945,681,0.7900146842878121,0.4200186133384704,681,0.7900146842878121,0.5468277732216902
Sonora,2.4434206,0.30413685344827585,0.19935,2416,1.0,0.3841822147369385,3712,0.78125,0.4178071618080139,3712,0.78125,0.5724305750998663
Michoacán,1.2271522,0.3222327129700691,0.2178,2332,1.0,0.5840417742729187,5212,0.5264773599386032,0.4083036184310913,5212,0.5264773599386032,0.5548940153565757
Baja California Sur,2.6813462,0.3407537109375,0.18255,625,1.0,0.3583452105522156,1024,0.86328125,0.4022400975227356,1024,0.86328125,0.5503716836339809
Chiapas,1.3531518,0.3254840344551282,0.1352,1657,1.0,0.5405377149581909,5742,0.32497387669801464,0.3645693659782409,5742,0.32497387669801464,0.5457397722917421
Sinaloa,1.3834138,0.24594060623391478,0.1698,1506,1.0,0.2904084324836731,3497,0.5601944523877609,0.3539188504219055,3497,0.5601944523877609,0.5586086033147284
Querétaro,1.518496,0.431311911852293,0.2481,608,1.0,0.4606280922889709,1679,0.5259082787373437,0.3510695695877075,1679,0.5259082787373437,0.5236678173451657
Morelos,1.1402084,0.38868134463961235,0.2546,955,1.0,0.4472391605377197,1651,0.6093276801938219,0.3264415264129638,1651,0.6093276801938219,0.4465096648559177
Oaxaca,1.5121627,0.36490875606897705,0.192,2285,1.0,0.5065172910690308,5973,0.4359618282270216,0.3182429075241089,5973,0.4359618282270216,0.5538899415634677
Guanajuato,1.4135162,0.24494503679231114,0.137,2657,1.0,0.4634456038475036,6659,0.5080342393752816,0.3129804730415344,6659,0.5080342393752816,0.5571075101827286
Veracruz,0.980915,0.2694661137986639,0.1707,2985,1.0,0.5069715976715088,8682,0.37998157106657454,0.2886936664581299,8682,0.37998157106657454,0.494320131187681
Zacatecas,1.1897916,0.22571128822381262,0.138,1514,1.0,0.3964253664016723,3074,0.6070266753415745,0.2749361991882324,3074,0.6070266753415745,0.5471778917502541
Guerrero,1.2568579,0.2253877495462795,0.12664999999999998,2105,1.0,0.4416946172714233,4408,0.5317604355716878,0.2490193843841552,4408,0.5317604355716878,0.5452500739252821
Ciudad de México,1.073753,0.31811124595469253,0.22855,2411,1.0,0.3621671795845032,2472,0.9765372168284789,0.1907680630683899,2472,0.9765372168284789,0.4405134253621739
Nayarit,1.0347573,0.23343109489051092,0.1755,588,1.0,0.3757076263427734,1370,0.5824817518248175,0.1869970560073852,1370,0.5824817518248175,0.4587669211221062
Tabasco,1.3029915,0.4569687366167024,0.2164,513,1.0,0.4722817540168762,1401,0.39900071377587437,0.1672252416610717,1401,0.39900071377587437,0.3849592754839002
