model,state,r2,mae,rmse,n
ridge,01,0.5527802470272232,0.19922633619145633,0.30165713636549396,820
ridge,02,0.629015763095394,0.27216470964937867,0.367886149160248,2241
ridge,03,0.5503716836339809,0.3392087513855381,0.47662857729325303,1024
ridge,04,0.6766617969233303,0.18868663227553842,0.26665706418162705,922
ridge,05,0.6275367063984747,0.28337030915663086,0.40298307081938384,2579
ridge,06,0.5468277732216902,0.255932953215414,0.3781839928617372,681
ridge,07,0.5457397722917421,0.24424613427125447,0.3404665729181004,5742
ridge,08,0.6390429786944196,0.2828581096473999,0.4028590250568705,3940
ridge,09,0.44051342536217397,0.20249463335133683,0.33654669915097485,2472
ridge,10,0.5766231188490476,0.2587912016409038,0.36081403548116875,2863
ridge,11,0.5571075101827286,0.23421009061936135,0.3436007129351526,6659
ridge,12,0.5452500739252821,0.22233619856958814,0.32829755904089825,4408
ridge,13,0.6948644221159186,0.2158462886320554,0.30448563627962566,3640
ridge,14,0.6111871640755415,0.26293453097636377,0.36768332910350404,6303
ridge,15,0.6257584237625897,0.2164299243098158,0.33210088442660934,6566
ridge,16,0.5548940153565757,0.23400013946431392,0.3209384000842484,5212
ridge,17,0.4465096648559177,0.23848072012916724,0.3449068549140373,1651
ridge,18,0.45876692112210626,0.2259028806299567,0.32489671264042735,1370
ridge,19,0.7056860738685038,0.2903697440958373,0.41947024658496795,3571
ridge,20,0.5538899415634677,0.24911830200556379,0.3566764552530896,5973
ridge,21,0.6654085778934316,0.19860456206861346,0.27247856208502186,4542
ridge,22,0.5236678173451657,0.23044257668254928,0.36924081792380886,1679
ridge,23,0.5685290005595064,0.29730558438434296,0.43236978940693704,1313
ridge,24,0.5906268398645597,0.24162058614779733,0.35077838474658,3569
ridge,25,0.5586086033147284,0.2370204434045079,0.3393226751631475,3497
ridge,26,0.5724305750998663,0.3061596206901539,0.4438386378191103,3712
ridge,27,0.3849592754839002,0.2893241814332231,0.38863512517427934,1401
ridge,28,0.6690947231830442,0.2526249336188014,0.35461986474474994,3550
ridge,29,0.723100440003657,0.17977625607137138,0.2596212100700317,889
ridge,30,0.49432013118768103,0.21383259302358484,0.3058503850526299,8682
ridge,31,0.49285051930768187,0.23992053689098258,0.33385227124510125,2019
ridge,32,0.5471778917502541,0.2245130366593772,0.31872454173825765,3074
xgboost,01,0.6855270921024943,0.1621679062192033,0.2529558534691121,820
xgboost,02,0.7698022618227439,0.19909609431148054,0.28979189490887175,2241
xgboost,03,0.6860307153801029,0.26922107409313323,0.3982876430262861,1024
xgboost,04,0.7781773661456737,0.14503362420737873,0.22086531141464938,922
xgboost,05,0.738193318576147,0.2258383365367077,0.3378589477885862,2579
xgboost,06,0.722230398698565,0.1914307302511386,0.29608326258507994,681
xgboost,07,0.6582207876958268,0.20681356120167688,0.29532141752697727,5742
xgboost,08,0.7440976164868138,0.22660375477021114,0.3392052113085869,3940
xgboost,09,0.6295811165930643,0.15728604378167868,0.27384010939715625,2472
xgboost,10,0.6559415790684116,0.22040964516550768,0.3252639631146771,2863
xgboost,11,0.6492301796619409,0.20895347858581623,0.30578488084315597,6659
xgboost,12,0.6119376852118659,0.20699032722973348,0.30327182872536296,4408
xgboost,13,0.7669942631599634,0.1865606230017903,0.2660747685988931,3640
xgboost,14,0.7194060226787107,0.21230705470394262,0.31235093824995913,6303
xgboost,15,0.7467897526198837,0.17824128323562832,0.27317103877067445,6566
xgboost,16,0.6370583803638057,0.20188118972873467,0.2898066541588008,5212
xgboost,17,0.5699044849108612,0.20469081802645428,0.30403897656283774,1651
xgboost,18,0.6003688873246944,0.19402162613416243,0.2791790321479091,1370
xgboost,19,0.79167041695772,0.22546739714167693,0.3529159019443517,3571
xgboost,20,0.6616344925277688,0.21672038661162302,0.3106322030549742,5973
xgboost,21,0.7449850050314888,0.16863058976358594,0.2378799268651245,4542
xgboost,22,0.690626558654355,0.2007261718289351,0.2975748723578885,1679
xgboost,23,0.7626366686564346,0.19902971800464941,0.32069068862544275,1313
xgboost,24,0.7097214629170849,0.20428593744287038,0.2953796721010019,3569
xgboost,25,0.6497957686876494,0.19915503798330172,0.30224675359452474,3497
xgboost,26,0.6965984840145222,0.24010887944126696,0.37387864401297133,3712
xgboost,27,0.5649675165943213,0.22074556588684124,0.3268518568568254,1401
xgboost,28,0.7441574469076598,0.20291787932328775,0.31181543102376386,3550
xgboost,29,0.7882476006255167,0.15113387015163565,0.22703520558257562,889
xgboost,30,0.6102691557818998,0.17944232701782914,0.26850574871298777,8682
xgboost,31,0.6989643267757273,0.16417552597656176,0.2572144269825494,2019
xgboost,32,0.6480097701356399,0.19574517564364044,0.2810069095369438,3074
