model,state,r2,mae,rmse,n
ridge,01,0.539387339861644,0.07905725347132432,0.09219655083441831,11
ridge,02,0.8302107650197225,0.08355495407223956,0.10974347135743046,6
ridge,03,0.26834793959867775,0.058985861105986095,0.07394451964757734,5
ridge,04,-0.043355436816638226,0.1396155963261678,0.16648876913853908,12
ridge,05,0.6823807666280595,0.14962397507903977,0.17742752063566872,38
ridge,06,0.43891447050696375,0.08658932999915395,0.10737817500061285,10
ridge,07,0.830931468745788,0.09703332569484029,0.12845486871589792,124
ridge,08,0.577004423140149,0.14231688518549862,0.18060097448351625,67
ridge,09,0.886256670940805,0.053359558088420245,0.06395516215690017,16
ridge,10,0.5604623212624714,0.10250754523657409,0.13135007880425748,39
ridge,11,0.7511453445098599,0.08251139613053686,0.1002285419314703,46
ridge,12,0.5806605678395745,0.08700978810313763,0.10816992517123947,81
ridge,13,0.8076936732152953,0.13100828078747992,0.1656561018350095,84
ridge,14,0.6007931253866277,0.11993995352777202,0.14396968787132763,125
ridge,15,0.8495444519195707,0.09532327707605273,0.12223787918967617,125
ridge,16,0.4522800609740021,0.12074058330978057,0.1465975326402594,113
ridge,17,0.38013495664483676,0.0957801354434954,0.12523203821885534,36
ridge,18,0.2668638113438905,0.07875356640439746,0.10471602132597999,20
ridge,19,0.730627461972013,0.16815009688505583,0.20900098288641572,51
ridge,20,0.442356003019602,0.20198934534098845,0.2683162760273297,570
ridge,21,0.5910957460168866,0.13070845779716164,0.1738271413504701,217
ridge,22,0.8452845267148544,0.07759653320878152,0.09609669717932603,18
ridge,23,-0.19643080413598968,0.14849243437521348,0.1627780213534627,11
ridge,24,0.690566016279472,0.10329238550350064,0.14413196106578421,58
ridge,25,0.675403114537731,0.08823407884020423,0.10331173678701552,18
ridge,26,0.4942519827004377,0.10801366231377507,0.13431171756698304,72
ridge,27,0.6689127039198474,0.09089423455387387,0.1114836800691292,17
ridge,28,0.647165324678918,0.11861008765743748,0.14711659162176424,43
ridge,29,0.7599964540035716,0.09906080325607221,0.12185057696348679,60
ridge,30,0.4707974774153537,0.09847548731259742,0.12929552464958266,212
ridge,31,-0.560213638329963,0.18460029646548973,0.21212499371992963,106
ridge,32,0.6239243101355167,0.10024113902262025,0.12181932481503181,58
xgboost,01,0.7709802753644786,0.054694767472731325,0.06501045157760986,11
xgboost,02,0.9575253800020562,0.04673123120370907,0.054889385500487935,6
xgboost,03,-0.5986836142045711,0.08173787255166828,0.10930372279449235,5
xgboost,04,0.793338114988343,0.06424553717959236,0.07409672175581014,12
xgboost,05,0.8967518097766094,0.08169498198849995,0.10115999778058045,38
xgboost,06,0.6533598904502418,0.06798404875824327,0.08439969766491841,10
xgboost,07,0.8587946733696957,0.09247148535503408,0.11739368072271704,124
xgboost,08,0.750010150429238,0.10486587599912732,0.13883960323038658,67
xgboost,09,0.9326649401943726,0.042658989187621565,0.04920772216889626,16
xgboost,10,0.7508991037382935,0.07353264432596147,0.09888261148749015,39
xgboost,11,0.8995396931723779,0.04486864178896013,0.0636818655881158,46
xgboost,12,0.7523706850957697,0.0659060080862876,0.08312366931345737,81
xgboost,13,0.9389838851930647,0.0759325888456346,0.09331101777767574,84
xgboost,14,0.7960859127191005,0.07684759747294942,0.10289533186542404,125
xgboost,15,0.9461011370777977,0.05755840405427095,0.07316299987860145,125
xgboost,16,0.7863525329349423,0.0721076290017314,0.09155799200512386,113
xgboost,17,0.7714803404366071,0.05478862738098279,0.0760376454968508,36
xgboost,18,0.25982657332998327,0.07129914423973838,0.10521739586223462,20
xgboost,19,0.8991911658736811,0.1035553738376705,0.1278559564617858,51
xgboost,20,0.8959262140347654,0.09008450869450936,0.11591487701247671,570
xgboost,21,0.8902685903919627,0.07294151192132492,0.09004762292980086,217
xgboost,22,0.8652121553656392,0.06090817871651074,0.08969473488754633,18
xgboost,23,0.23924866689008806,0.08399567586677525,0.12979959371268052,11
xgboost,24,0.8501985011489838,0.07749575967006421,0.10028462868043396,58
xgboost,25,0.8910870880224092,0.05149473191644326,0.05984352584968044,18
xgboost,26,0.7598797903277419,0.07424023852330033,0.09254674857463945,72
xgboost,27,0.8357747915400543,0.05709406938821511,0.07851632222972767,17
xgboost,28,0.8748749865470267,0.06605450184498889,0.0876088729843833,43
xgboost,29,0.9209955266014133,0.05610632961606609,0.06991085315461837,60
xgboost,30,0.7188751741435435,0.0730685950962642,0.09423714919211461,212
xgboost,31,0.6728641781332039,0.06559130535893354,0.09713234166768786,106
xgboost,32,0.8083803107411847,0.06472514864756494,0.0869558137074541,58
