model,state,r2,mae,rmse,n
ridge,01,0.7381392490099268,0.05734266981489436,0.06951554679941196,11
ridge,02,0.8449639068048374,0.0830050619251963,0.1048672853280157,6
ridge,03,0.5017969680820529,0.049432383862736094,0.06101784637924721,5
ridge,04,0.2745521397768912,0.1130857319308853,0.1388263491825663,12
ridge,05,0.7306401488339533,0.12543529378168303,0.1633932152494626,38
ridge,06,0.6627196029672411,0.06954691752519886,0.0832524521956496,10
ridge,07,0.7718410085788935,0.11707501588669456,0.14922375833100446,124
ridge,08,0.6314559380537741,0.12097157022892668,0.16857644279682762,67
ridge,09,0.8312634036231572,0.06433357344155477,0.0778963806379491,16
ridge,10,0.5117014921693668,0.11152548248904175,0.13844426855116246,39
ridge,11,0.7961602904203808,0.07065655818171591,0.09071162012427089,46
ridge,12,0.5417001726436461,0.0894564890321809,0.11308331331031816,81
ridge,13,0.8047734058190144,0.13154647183611928,0.16690914795169587,84
ridge,14,0.6301073602375931,0.11125320731909524,0.13858298200440516,125
ridge,15,0.8270937892575997,0.10265762465900206,0.1310409399066148,125
ridge,16,0.45483325279740905,0.117595338794077,0.14625545194911868,113
ridge,17,0.47425214773776614,0.08889855247272618,0.11533354202102156,36
ridge,18,0.3437112075810239,0.07368035374915911,0.09907596203475726,20
ridge,19,0.7584939560761887,0.14791899931601332,0.1978953872458241,51
ridge,20,0.4268985504355196,0.20449569902783038,0.2720096148301582,570
ridge,21,0.5982645018464188,0.12472174906649396,0.17229666768391572,217
ridge,22,0.8019579511260173,0.08855230272802474,0.10872271565881296,18
ridge,23,0.3703176533577187,0.09737969426285842,0.11808989351295428,11
ridge,24,0.6849920024293027,0.11090169696000847,0.14542433329225282,58
ridge,25,0.7416732331921242,0.07028353192797297,0.09216418618159093,18
ridge,26,0.5269920514169439,0.10631798813340594,0.12989158845027582,72
ridge,27,0.5729040988135679,0.11269288870649534,0.1266201254756975,17
ridge,28,0.7608666772257028,0.096685720983484,0.12111448146991592,43
ridge,29,0.8292125798524763,0.08050676454097135,0.10278901394147505,60
ridge,30,0.4512590553979263,0.1020141951324752,0.13166071921827666,212
ridge,31,-0.44747735239714537,0.1757743468225282,0.2043175612640271,106
ridge,32,0.6354957787864792,0.10383060238960486,0.11993055369349598,58
xgboost,01,0.8898647738166185,0.039862111379893636,0.04508269425743782,11
xgboost,02,0.9483997603781575,0.03433478473574817,0.060499178415210825,6
xgboost,03,0.9183324391904365,0.020054085799011558,0.024704637423606093,5
xgboost,04,0.9219369133499851,0.03923718467124423,0.0455398567923608,12
xgboost,05,0.9407577820301146,0.05903276633937332,0.07662725038421572,38
xgboost,06,0.9218045160962333,0.0367401082914669,0.040085962887142876,10
xgboost,07,0.8788879689989006,0.08088568119834945,0.10872084602644314,124
xgboost,08,0.8382220897521333,0.07476347898212055,0.11168935601508288,67
xgboost,09,0.9645908876851433,0.030446893591104862,0.03568372276358156,16
xgboost,10,0.8613197396504406,0.057375239175832315,0.07378016237620692,39
xgboost,11,0.889437540302806,0.05143839580351721,0.06680706208755342,46
xgboost,12,0.7976620075999655,0.05584875810071577,0.07513847841831185,81
xgboost,13,0.945576608055175,0.06658001472483752,0.08812587742359321,84
xgboost,14,0.844234856449836,0.06936858518095321,0.08993053916471952,125
xgboost,15,0.9148399209260634,0.06487153325109339,0.09196439768812353,125
xgboost,16,0.7741857897392664,0.07060698613084714,0.09412890776586179,113
xgboost,17,0.7694575028296097,0.06182969583898106,0.07637344357425412,36
xgboost,18,0.7742142303664267,0.04492608626230006,0.05811243688047586,20
xgboost,19,0.9362817590721562,0.07022716267848689,0.10164910479812622,51
xgboost,20,0.7729243281419655,0.12700798874122396,0.17121972923579473,570
xgboost,21,0.8507230457472037,0.07500621691599602,0.10502753107469,217
xgboost,22,0.9009009467780034,0.06315067063779385,0.07690885378743544,18
xgboost,23,0.7229752757865197,0.04936868909654401,0.07832695395125959,11
xgboost,24,0.9023095832328027,0.05539176584994816,0.08098456851560841,58
xgboost,25,0.9073308019483188,0.046211256385740834,0.05520077698467371,18
xgboost,26,0.7626195980343604,0.07087997026723339,0.09201724765991198,72
xgboost,27,0.8877331460927488,0.050542477558770914,0.06491810200806918,17
xgboost,28,0.9017522010581733,0.05583662080804825,0.07763140383719605,43
xgboost,29,0.9312922891075504,0.05023870814215893,0.06519608248092129,60
xgboost,30,0.7367758859242541,0.06571014733075033,0.09118751406865899,212
xgboost,31,0.6110715435608041,0.06803209626559015,0.10590943898387895,106
xgboost,32,0.8310580138665109,0.06543029001748443,0.08164833924377067,58
