model,state,r2,mae,rmse,n
ridge,01,0.42638611793518066,0.2577085793018341,0.3381964862346649,11
ridge,02,-0.0626077651977539,0.2578546404838562,0.32454290986061096,5
ridge,03,-0.6756531000137329,0.29793795943260193,0.3681940734386444,5
ridge,04,0.5539337396621704,0.19863294064998627,0.23941169679164886,11
ridge,05,0.7971594333648682,0.28683972358703613,0.3634386360645294,38
ridge,06,-0.6868582963943481,0.2874251902103424,0.3628539443016052,10
ridge,07,0.005774378776550293,0.3401854932308197,0.48670125007629395,118
ridge,08,0.49729859828948975,0.4408907890319824,0.6121140122413635,67
ridge,09,0.8007208704948425,0.15432924032211304,0.17964953184127808,16
ridge,10,0.333740234375,0.3536338806152344,0.447856605052948,39
ridge,11,0.5229243040084839,0.2298559546470642,0.30534401535987854,46
ridge,12,-0.5961499214172363,0.38614821434020996,0.49145862460136414,81
ridge,13,0.40685445070266724,0.3944319188594818,0.5643399357795715,84
ridge,14,0.3459475636482239,0.3037968575954437,0.39045214653015137,125
ridge,15,0.7248762845993042,0.2977164089679718,0.39788347482681274,125
ridge,16,0.4263352155685425,0.2936389446258545,0.365922749042511,113
ridge,17,0.07256191968917847,0.3252018392086029,0.41308093070983887,33
ridge,18,-1.000638484954834,0.3875349164009094,0.4856071174144745,20
ridge,19,0.7149275541305542,0.3903389871120453,0.4968619644641876,51
ridge,20,0.5066903233528137,0.49167340993881226,0.6133153438568115,570
ridge,21,0.5764269828796387,0.33668047189712524,0.434522807598114,217
ridge,22,0.594624400138855,0.20125307142734528,0.2819597125053406,18
ridge,23,-2.8702762126922607,0.35694947838783264,0.5657997131347656,9
ridge,24,0.3906030058860779,0.3725578188896179,0.5097399353981018,58
ridge,25,0.2781800627708435,0.21417230367660522,0.26808446645736694,18
ridge,26,-0.98305344581604,0.45298120379447937,0.6398205161094666,72
ridge,27,0.4756892919540405,0.21788422763347626,0.27567237615585327,17
ridge,28,0.6027474999427795,0.2801058888435364,0.4105461537837982,43
ridge,29,0.7668431997299194,0.23123379051685333,0.2871793508529663,60
ridge,30,0.13022297620773315,0.33505961298942566,0.4305956959724426,212
ridge,31,0.3328586220741272,0.26243606209754944,0.32699263095855713,106
ridge,32,0.2931147813796997,0.299919992685318,0.41940972208976746,58
xgboost,01,0.4771021604537964,0.28498461842536926,0.322899729013443,11
xgboost,02,-0.28186464309692383,0.3004806637763977,0.3564566373825073,5
xgboost,03,-0.620090126991272,0.30105751752853394,0.36203813552856445,5
xgboost,04,0.6517770290374756,0.16241000592708588,0.2115311622619629,11
xgboost,05,0.6413231492042542,0.34859809279441833,0.4832872748374939,38
xgboost,06,0.41734498739242554,0.16275086998939514,0.21325455605983734,10
xgboost,07,0.5431620478630066,0.2579711675643921,0.32991424202919006,118
xgboost,08,0.363788902759552,0.5586555004119873,0.6886172294616699,67
xgboost,09,0.38892316818237305,0.251728892326355,0.31458866596221924,16
xgboost,10,0.6686238646507263,0.2406526505947113,0.3158477544784546,39
xgboost,11,0.7167662382125854,0.18698152899742126,0.23527094721794128,46
xgboost,12,0.1265847086906433,0.29659372568130493,0.3635469377040863,81
xgboost,13,0.593602180480957,0.34963446855545044,0.4671279489994049,84
xgboost,14,0.6180593967437744,0.2412029504776001,0.29837295413017273,125
xgboost,15,0.8628066778182983,0.22458717226982117,0.2809689939022064,125
xgboost,16,0.6510130167007446,0.21898266673088074,0.2854072153568268,113
xgboost,17,0.6155562996864319,0.21323871612548828,0.26595553755760193,33
xgboost,18,0.510159969329834,0.1941005438566208,0.24028567969799042,20
xgboost,19,0.6204632520675659,0.43910419940948486,0.5733040571212769,51
xgboost,20,0.6240066289901733,0.42782217264175415,0.5354440808296204,570
xgboost,21,0.6583096981048584,0.3004334270954132,0.3902696669101715,217
xgboost,22,0.6135585904121399,0.2095521241426468,0.27529609203338623,18
xgboost,23,-0.05072367191314697,0.22333478927612305,0.2948057949542999,9
xgboost,24,0.590381383895874,0.3243293762207031,0.41791537404060364,58
xgboost,25,-0.2621030807495117,0.290854811668396,0.3544905185699463,18
xgboost,26,0.41979897022247314,0.28955867886543274,0.3460829555988312,72
xgboost,27,0.6292705535888672,0.17646780610084534,0.23180748522281647,17
xgboost,28,0.4854124188423157,0.3665041923522949,0.4672596752643585,43
xgboost,29,0.7444965243339539,0.23738381266593933,0.3006266951560974,60
xgboost,30,0.545518696308136,0.23445938527584076,0.31126028299331665,212
xgboost,31,0.36729544401168823,0.24738121032714844,0.31844139099121094,106
xgboost,32,0.6395591497421265,0.21976101398468018,0.2994891405105591,58
