model,state,r2,mae,rmse,n
ridge,01,0.4221634864807129,0.27091023325920105,0.3394390046596527,11
ridge,02,0.08967363834381104,0.23675069212913513,0.3003891110420227,5
ridge,03,-1.1996235847473145,0.3364339768886566,0.4218508303165436,5
ridge,04,0.4968912601470947,0.21670947968959808,0.2542591392993927,11
ridge,05,0.806005597114563,0.2828131318092346,0.3554252088069916,38
ridge,06,-0.6771512031555176,0.28947386145591736,0.3618084490299225,10
ridge,07,0.00669175386428833,0.34448471665382385,0.4864766597747803,118
ridge,08,0.4623088240623474,0.44049742817878723,0.6330583095550537,67
ridge,09,0.7993289828300476,0.15684711933135986,0.1802881807088852,16
ridge,10,0.42134159803390503,0.341830313205719,0.4173768162727356,39
ridge,11,0.5728052854537964,0.22526244819164276,0.2889406979084015,46
ridge,12,-0.544378399848938,0.3896511197090149,0.4834226369857788,81
ridge,13,0.45071935653686523,0.40680617094039917,0.5430395603179932,84
ridge,14,0.32900506258010864,0.3015221655368805,0.39547690749168396,125
ridge,15,0.7019962668418884,0.30815693736076355,0.4140976071357727,125
ridge,16,0.4356534481048584,0.2879794239997864,0.36293867230415344,113
ridge,17,0.1254255771636963,0.31835585832595825,0.40113547444343567,33
ridge,18,-1.0613548755645752,0.36861830949783325,0.49292075634002686,20
ridge,19,0.6923928260803223,0.4051227271556854,0.5161266922950745,51
ridge,20,0.5132388472557068,0.4883424937725067,0.6094998121261597,570
ridge,21,0.591401219367981,0.3284209668636322,0.4267730116844177,217
ridge,22,0.6265741586685181,0.21314209699630737,0.27062031626701355,18
ridge,23,-2.562239170074463,0.3486425578594208,0.5428168177604675,9
ridge,24,0.4391661286354065,0.357596755027771,0.4890075922012329,58
ridge,25,0.4245140552520752,0.1841643899679184,0.23937267065048218,18
ridge,26,-0.7165700197219849,0.4403557777404785,0.5952757596969604,72
ridge,27,0.6066003441810608,0.19121725857257843,0.23878982663154602,17
ridge,28,0.6323089599609375,0.2794208824634552,0.3949755132198334,43
ridge,29,0.7630639672279358,0.2330225557088852,0.289497435092926,60
ridge,30,0.09556961059570312,0.3331372141838074,0.43908971548080444,212
ridge,31,0.330929160118103,0.26629093289375305,0.32746514678001404,106
ridge,32,0.414573609828949,0.27622947096824646,0.3816806972026825,58
xgboost,01,0.2862425446510315,0.3296659290790558,0.3772546350955963,11
xgboost,02,-0.23137891292572021,0.3050602078437805,0.349366694688797,5
xgboost,03,-0.28441619873046875,0.26700037717819214,0.3223573863506317,5
xgboost,04,0.573436975479126,0.19836550951004028,0.23411932587623596,11
xgboost,05,0.6647273302078247,0.31724223494529724,0.4672536849975586,38
xgboost,06,0.1954471468925476,0.18686985969543457,0.25059351325035095,10
xgboost,07,0.5708657503128052,0.2521749436855316,0.319754421710968,118
xgboost,08,0.3847600817680359,0.5469606518745422,0.6771727800369263,67
xgboost,09,0.4125836491584778,0.23378592729568481,0.3084593415260315,16
xgboost,10,0.6814391613006592,0.2373967319726944,0.30968016386032104,39
xgboost,11,0.721484899520874,0.18650022149085999,0.23330290615558624,46
xgboost,12,0.07775890827178955,0.295125812292099,0.3735703229904175,81
xgboost,13,0.5766077041625977,0.34480029344558716,0.4767666161060333,84
xgboost,14,0.5828626155853271,0.25116798281669617,0.3118179142475128,125
xgboost,15,0.8396033048629761,0.24197156727313995,0.3038012981414795,125
xgboost,16,0.6082071661949158,0.2333994358778,0.3024047017097473,113
xgboost,17,0.5475804805755615,0.243225559592247,0.28851163387298584,33
xgboost,18,0.6189897060394287,0.16944098472595215,0.21191862225532532,20
xgboost,19,0.6172324419021606,0.43745535612106323,0.5757390260696411,51
xgboost,20,0.6157643795013428,0.42814934253692627,0.5415199398994446,570
xgboost,21,0.6524019241333008,0.3058382272720337,0.3936290144920349,217
xgboost,22,0.4901636838912964,0.2422349750995636,0.31620854139328003,18
xgboost,23,-0.4194875955581665,0.2589721083641052,0.34265536069869995,9
xgboost,24,0.6678562164306641,0.30076760053634644,0.3763236999511719,58
xgboost,25,-0.27353107929229736,0.2844775915145874,0.35609179735183716,18
xgboost,26,0.4237779974937439,0.27423331141471863,0.34489136934280396,72
xgboost,27,0.6989724636077881,0.15440931916236877,0.20888246595859528,17
xgboost,28,0.4539174437522888,0.3755880892276764,0.4813464879989624,43
xgboost,29,0.7559184432029724,0.21715618669986725,0.29383033514022827,60
xgboost,30,0.5335912704467773,0.24218446016311646,0.31531819701194763,212
xgboost,31,0.3267388343811035,0.2517697215080261,0.3284889757633209,106
xgboost,32,0.6763095855712891,0.2059805542230606,0.2838108241558075,58
