model,state,r2,mae,rmse,n
ridge,01,0.6089464426040649,0.20013028383255005,0.21307632327079773,11
ridge,02,0.8168861865997314,0.16777467727661133,0.21187299489974976,6
ridge,03,-0.9667408466339111,0.3240664601325989,0.3720540702342987,5
ridge,04,0.6200805306434631,0.1997166872024536,0.24940308928489685,12
ridge,05,0.6593206524848938,0.32396024465560913,0.42618346214294434,38
ridge,06,0.5127008557319641,0.1602807492017746,0.21754474937915802,10
ridge,07,0.7576079368591309,0.24742892384529114,0.32134202122688293,124
ridge,08,0.3476881980895996,0.44407781958580017,0.5550979375839233,67
ridge,09,-0.14659297466278076,0.3743669390678406,0.4147029221057892,16
ridge,10,0.6392590999603271,0.23309627175331116,0.28581708669662476,39
ridge,11,0.557043194770813,0.25051048398017883,0.302785724401474,46
ridge,12,-0.0650414228439331,0.3355593979358673,0.40889549255371094,81
ridge,13,0.7879899740219116,0.3138173520565033,0.389750212430954,84
ridge,14,0.7152568101882935,0.21877889335155487,0.281995564699173,125
ridge,15,0.8296808004379272,0.22394268214702606,0.29438456892967224,125
ridge,16,0.6625535488128662,0.21331089735031128,0.2630116641521454,113
ridge,17,0.37539780139923096,0.23330725729465485,0.28768327832221985,36
ridge,18,-0.3173114061355591,0.28044575452804565,0.3487752079963684,20
ridge,19,0.6898113489151001,0.409726083278656,0.530952513217926,51
ridge,20,0.6263415813446045,0.3789805769920349,0.5029131174087524,570
ridge,21,0.7045512199401855,0.2595362365245819,0.33761805295944214,217
ridge,22,0.5649516582489014,0.28111153841018677,0.3596341609954834,18
ridge,23,0.5128753185272217,0.2017648071050644,0.27181440591812134,11
ridge,24,0.7754059433937073,0.2339150309562683,0.28152453899383545,58
ridge,25,0.49361276626586914,0.2890091836452484,0.3178633451461792,18
ridge,26,0.2637649178504944,0.3276594281196594,0.40826964378356934,72
ridge,27,0.372562050819397,0.30455282330513,0.3286621868610382,17
ridge,28,0.8027455806732178,0.22935326397418976,0.2735961079597473,43
ridge,29,0.7713043093681335,0.21141256392002106,0.2621057331562042,60
ridge,30,0.45560163259506226,0.22636596858501434,0.2925225794315338,212
ridge,31,0.3732990026473999,0.22032852470874786,0.2994683086872101,106
ridge,32,0.6464620232582092,0.21333014965057373,0.27432119846343994,58
xgboost,01,0.3213501572608948,0.2545824348926544,0.28069841861724854,11
xgboost,02,0.9413102269172668,0.09692350775003433,0.11994889378547668,6
xgboost,03,-0.2352050542831421,0.27003735303878784,0.29485058784484863,5
xgboost,04,0.6971763372421265,0.1671421080827713,0.222664475440979,12
xgboost,05,0.7120389938354492,0.3035910725593567,0.39182355999946594,38
xgboost,06,0.3579446077346802,0.16564401984214783,0.24971063435077667,10
xgboost,07,0.7473198175430298,0.2548152506351471,0.3280906677246094,124
xgboost,08,0.3593329191207886,0.451516330242157,0.550121009349823,67
xgboost,09,0.3683851361274719,0.2372228503227234,0.30779293179512024,16
xgboost,10,0.564761757850647,0.2501831352710724,0.31394532322883606,39
xgboost,11,0.6881933808326721,0.2096654176712036,0.2540372312068939,46
xgboost,12,0.06862032413482666,0.29470786452293396,0.38237762451171875,81
xgboost,13,0.8239009380340576,0.28966522216796875,0.3552112281322479,84
xgboost,14,0.6452343463897705,0.24882212281227112,0.31476494669914246,125
xgboost,15,0.8071221709251404,0.24801701307296753,0.3132740259170532,125
xgboost,16,0.5806677937507629,0.2259780764579773,0.29319173097610474,113
xgboost,17,0.4853997826576233,0.2100786715745926,0.2611246407032013,36
xgboost,18,-0.199737548828125,0.2515982985496521,0.33284690976142883,20
xgboost,19,0.7504388093948364,0.3854392468929291,0.4762459099292755,51
xgboost,20,0.6777378916740417,0.36186206340789795,0.4670465886592865,570
xgboost,21,0.7459341287612915,0.24058683216571808,0.3130817711353302,217
xgboost,22,0.48284226655960083,0.3085073232650757,0.39210617542266846,18
xgboost,23,0.26559144258499146,0.28123676776885986,0.3337499797344208,11
xgboost,24,0.8705325126647949,0.17127560079097748,0.21374574303627014,58
xgboost,25,0.5651168823242188,0.2569643557071686,0.29456788301467896,18
xgboost,26,0.3623086214065552,0.30761218070983887,0.3799654543399811,72
xgboost,27,0.5982035994529724,0.2224876433610916,0.2630070447921753,17
xgboost,28,0.653325080871582,0.25934916734695435,0.36270853877067566,43
xgboost,29,0.7844284176826477,0.2066921889781952,0.2544739246368408,60
xgboost,30,0.5092636346817017,0.19726915657520294,0.27773144841194153,212
xgboost,31,0.2603498697280884,0.24813823401927948,0.325337290763855,106
xgboost,32,0.7023630142211914,0.18753620982170105,0.25170090794563293,58
