model,state,r2,mae,rmse,n
ridge,01,0.5559813380241394,0.4045895040035248,0.5460126399993896,384
ridge,02,0.38263601064682007,0.5480483770370483,0.7571039795875549,1252
ridge,03,0.3243715167045593,0.6886559128761292,0.9770089983940125,547
ridge,04,0.6166622638702393,0.5442951917648315,0.7550944089889526,389
ridge,05,0.5324814319610596,0.6144701242446899,0.9300717711448669,1734
ridge,06,0.43668556213378906,0.5430414080619812,0.8799524307250977,455
ridge,07,0.4698631167411804,0.47835540771484375,0.661849319934845,1625
ridge,08,0.47330737113952637,0.6983920335769653,1.0503932237625122,2424
ridge,09,0.3257730007171631,0.529937207698822,0.7694216370582581,2404
ridge,10,0.4393630027770996,0.6597207188606262,0.9524114727973938,1377
ridge,11,0.44764941930770874,0.61957186460495,0.87879478931427,2508
ridge,12,0.38917475938796997,0.6657302975654602,0.8686850666999817,2076
ridge,13,0.5699094533920288,0.5542849898338318,0.7671610713005066,1204
ridge,14,0.49316179752349854,0.602581799030304,0.8751288652420044,4020
ridge,15,0.6516141891479492,0.449057400226593,0.6691256761550903,3841
ridge,16,0.5551809072494507,0.5282341241836548,0.7693655490875244,2288
ridge,17,0.4788869023323059,0.5006864070892334,0.7341820597648621,931
ridge,18,0.38741540908813477,0.5291346907615662,0.7540176510810852,586
ridge,19,0.62733393907547,0.5906286239624023,0.8975594639778137,2180
ridge,20,0.4571983218193054,0.6103355288505554,0.8569728136062622,2267
ridge,21,0.5961413383483887,0.5021433234214783,0.6958436369895935,2318
ridge,22,0.46324580907821655,0.457544207572937,0.7199641466140747,606
ridge,23,0.5394535064697266,0.6278185844421387,0.9408288598060608,696
ridge,24,0.43533575534820557,0.5899055600166321,0.8753805160522461,1217
ridge,25,0.3022828698158264,0.6273541450500488,0.8774741291999817,1486
ridge,26,0.3293648362159729,0.7175098657608032,1.0565425157546997,2339
ridge,27,0.4769817590713501,0.4635384976863861,0.6699084639549255,502
ridge,28,0.5583851337432861,0.571535587310791,0.8659237027168274,2024
ridge,29,0.5602599382400513,0.5183827877044678,0.7380347847938538,620
ridge,30,0.478026807308197,0.48847654461860657,0.6969658732414246,2959
ridge,31,0.5010613203048706,0.5539815425872803,0.7729924321174622,1351
ridge,32,0.3028287887573242,0.6696363687515259,0.911596953868866,1476
xgboost,01,0.620171070098877,0.36849483847618103,0.5050055384635925,384
xgboost,02,0.4910772442817688,0.4876883625984192,0.687402069568634,1252
xgboost,03,0.33198922872543335,0.6705812215805054,0.9714854955673218,547
xgboost,04,0.6109164953231812,0.498441606760025,0.7607323527336121,389
xgboost,05,0.6064216494560242,0.551633894443512,0.8533607125282288,1734
xgboost,06,0.4774166941642761,0.5167814493179321,0.8475425839424133,455
xgboost,07,0.5172639489173889,0.44452038407325745,0.6315678358078003,1625
xgboost,08,0.5341982841491699,0.651378870010376,0.9878109097480774,2424
xgboost,09,0.491108775138855,0.43421030044555664,0.6684575080871582,2404
xgboost,10,0.47064852714538574,0.6311290264129639,0.9254559874534607,1377
xgboost,11,0.48279476165771484,0.5962300300598145,0.8503769636154175,2508
xgboost,12,0.47919583320617676,0.6054809093475342,0.8021231889724731,2076
xgboost,13,0.6251155138015747,0.5053941607475281,0.7162346839904785,1204
xgboost,14,0.5247876048088074,0.5866919159889221,0.847385823726654,4020
xgboost,15,0.7147150635719299,0.39454129338264465,0.6055037975311279,3841
xgboost,16,0.580933690071106,0.5125880837440491,0.7467623353004456,2288
xgboost,17,0.5268536806106567,0.4726795256137848,0.6995769739151001,931
xgboost,18,0.4679188132286072,0.4765291213989258,0.702728271484375,586
xgboost,19,0.6759321689605713,0.5420547723770142,0.8369919657707214,2180
xgboost,20,0.5367527604103088,0.5594993233680725,0.7916858792304993,2267
xgboost,21,0.640116810798645,0.45856016874313354,0.6568674445152283,2318
xgboost,22,0.6172003746032715,0.4041897654533386,0.6080074906349182,606
xgboost,23,0.6079325675964355,0.5705386400222778,0.8680691123008728,696
xgboost,24,0.5002387762069702,0.5670856237411499,0.82353675365448,1217
xgboost,25,0.3998139500617981,0.5553236603736877,0.8138372898101807,1486
xgboost,26,0.43014711141586304,0.6351926326751709,0.9739242196083069,2339
xgboost,27,0.4695613980293274,0.45416173338890076,0.674643874168396,502
xgboost,28,0.6198629140853882,0.5194002389907837,0.803392767906189,2024
xgboost,29,0.6775431632995605,0.44145703315734863,0.6319964528083801,620
xgboost,30,0.5630182027816772,0.4394974410533905,0.6377039551734924,2959
xgboost,31,0.5805491209030151,0.49273478984832764,0.7087486386299133,1351
xgboost,32,0.3465919494628906,0.6535365581512451,0.8825217485427856,1476
