model,state,r2,mae,rmse,n
ridge,01,0.6273692846298218,0.37448644638061523,0.5001973509788513,384
ridge,02,0.455194354057312,0.505538284778595,0.7112228274345398,1252
ridge,03,0.4059440493583679,0.638784646987915,0.9161324501037598,547
ridge,04,0.660494327545166,0.5157838463783264,0.7106143236160278,389
ridge,05,0.6123093366622925,0.5628091096878052,0.8469537496566772,1734
ridge,06,0.5017434358596802,0.5034604668617249,0.8275805115699768,455
ridge,07,0.5582096576690674,0.42806926369667053,0.6041895747184753,1625
ridge,08,0.5889906883239746,0.6148660778999329,0.9278955459594727,2424
ridge,09,0.3602595925331116,0.5090070366859436,0.749485433101654,2404
ridge,10,0.5193780064582825,0.6127091646194458,0.8818313479423523,1377
ridge,11,0.48984962701797485,0.5982847213745117,0.8445574045181274,2508
ridge,12,0.47834348678588867,0.5957292318344116,0.8027793169021606,2076
ridge,13,0.6421180367469788,0.5014199018478394,0.6998041272163391,1204
ridge,14,0.5455191135406494,0.5679774880409241,0.8286957740783691,4020
ridge,15,0.6841952204704285,0.41943150758743286,0.6370694637298584,3841
ridge,16,0.6008344888687134,0.4987386465072632,0.7288153767585754,2288
ridge,17,0.5169609785079956,0.4797825515270233,0.7068526744842529,931
ridge,18,0.4171100854873657,0.5055795907974243,0.7355153560638428,586
ridge,19,0.67122483253479,0.54368656873703,0.8430490493774414,2180
ridge,20,0.5709676742553711,0.5343198776245117,0.7618885636329651,2267
ridge,21,0.6536728739738464,0.463546484708786,0.6443772912025452,2318
ridge,22,0.5173190236091614,0.43614423274993896,0.6827366948127747,606
ridge,23,0.6036840677261353,0.580579936504364,0.8727596998214722,696
ridge,24,0.48646706342697144,0.5599936842918396,0.8348065614700317,1217
ridge,25,0.3849015235900879,0.5831037163734436,0.8238856792449951,1486
ridge,26,0.42498666048049927,0.6490779519081116,0.9783241152763367,2339
ridge,27,0.5432432889938354,0.4143323302268982,0.6260362863540649,502
ridge,28,0.6196679472923279,0.5174615383148193,0.8035987019538879,2024
ridge,29,0.6247092485427856,0.47692930698394775,0.6818090081214905,620
ridge,30,0.5491992235183716,0.4558080732822418,0.6477087140083313,2959
ridge,31,0.5762205123901367,0.50291907787323,0.7123962640762329,1351
ridge,32,0.3877607583999634,0.6160716414451599,0.8542671799659729,1476
xgboost,01,0.6618916988372803,0.35008367896080017,0.4764638841152191,384
xgboost,02,0.5311919450759888,0.46472951769828796,0.6597545742988586,1252
xgboost,03,0.39823079109191895,0.6338505148887634,0.9220607876777649,547
xgboost,04,0.6443812847137451,0.4922541379928589,0.727281928062439,389
xgboost,05,0.6486252546310425,0.5223850607872009,0.8063104152679443,1734
xgboost,06,0.5034770369529724,0.5017313361167908,0.8261395692825317,455
xgboost,07,0.5873466730117798,0.4145517647266388,0.5839259624481201,1625
xgboost,08,0.5897462368011475,0.6030898690223694,0.9270423650741577,2424
xgboost,09,0.4916344881057739,0.43970224261283875,0.6681121587753296,2404
xgboost,10,0.5228006839752197,0.5916048884391785,0.8786858320236206,1377
xgboost,11,0.5027562379837036,0.5796043276786804,0.8338054418563843,2508
xgboost,12,0.5043575763702393,0.5821304321289062,0.7825067043304443,2076
xgboost,13,0.6574183702468872,0.47767481207847595,0.6846815347671509,1204
xgboost,14,0.5471919775009155,0.5673154592514038,0.8271692395210266,4020
xgboost,15,0.7296963930130005,0.37802961468696594,0.5893908143043518,3841
xgboost,16,0.6152240037918091,0.4889918565750122,0.7155582904815674,2288
xgboost,17,0.5260093212127686,0.46770134568214417,0.7002009153366089,931
xgboost,18,0.511100172996521,0.45403048396110535,0.6736097931861877,586
xgboost,19,0.700445294380188,0.5122397541999817,0.8047136664390564,2180
xgboost,20,0.5902886390686035,0.522908091545105,0.7445356249809265,2267
xgboost,21,0.6818931102752686,0.4272681474685669,0.6175662279129028,2318
xgboost,22,0.6357778906822205,0.38948333263397217,0.5930705070495605,606
xgboost,23,0.6351491212844849,0.5650233030319214,0.8373973965644836,696
xgboost,24,0.5447317361831665,0.5236114263534546,0.7860232591629028,1217
xgboost,25,0.43827033042907715,0.53844153881073,0.7873327732086182,1486
xgboost,26,0.4742577075958252,0.6081069111824036,0.9354708194732666,2339
xgboost,27,0.49620312452316284,0.45110636949539185,0.6574833393096924,502
xgboost,28,0.6496646404266357,0.4973295331001282,0.7712581157684326,2024
xgboost,29,0.7217491865158081,0.40081414580345154,0.5870797038078308,620
xgboost,30,0.5950098037719727,0.4259282052516937,0.6139170527458191,2959
xgboost,31,0.6045107841491699,0.4808250069618225,0.6882068514823914,1351
xgboost,32,0.4388481378555298,0.5898151993751526,0.8178493976593018,1476
